Category,file_type,perc_number
Model,C/C++,22.0385
Model,C/C++,22.0449
Model,C/C++,20.898
Model,C/C++,13.7679
Model,C/C++,17.6684
Model,C/C++,11.7722
Model,C/C++,23.3213
Model,C/C++,20.1647
Model,C/C++,30.0702
Model,C/C++,15.209
Model,C/C++,11.717
Model,C/C++,26.5234
Model,Python,18.3632
Model,Python,18.3598
Model,Python,22.0472
Model,Python,13.8958
Model,Python,9.4988
Model,Python,24.0087
Model,Python,3.6514
Model,Python,26.3891
Model,Python,15.3016
Model,Python,27.5581
Model,Python,17.1916
Model,Python,26.5705
Model,PEP,13.6122
Model,PEP,13.6093
Model,PEP,22.5708
Model,PEP,12.5526
Model,PEP,8.4735
Model,PEP,16.9769
Model,PEP,3.5948
Model,PEP,19.8182
Model,PEP,15.1947
Model,PEP,22.8819
Model,PEP,14.9197
Model,PEP,26.1275
Model,Perl,1.1032
Model,Perl,1.1035
Model,Perl,4.1048
Model,Perl,13.5441
Model,Perl,10.9309
Model,Perl,4.4657
Model,Perl,22.123
Model,Perl,6.2447
Model,Perl,3.3588
Model,Perl,4.8272
Model,Perl,3.8824
Model,Perl,3.412
Model,ELF/COFF,2.0112
Model,ELF/COFF,2.0113
Model,ELF/COFF,3.5563
Model,ELF/COFF,6.748
Model,ELF/COFF,5.9184
Model,ELF/COFF,5.5518
Model,ELF/COFF,11.8359
Model,ELF/COFF,3.158
Model,ELF/COFF,2.8954
Model,ELF/COFF,3.32
Model,ELF/COFF,3.996
Model,ELF/COFF,2.8371
Model,Data/ DB,2.0136
Model,Data/ DB,2.0137
Model,Data/ DB,1.3826
Model,Data/ DB,4.9198
Model,Data/ DB,5.479
Model,Data/ DB,3.5479
Model,Data/ DB,0.8818
Model,Data/ DB,3.0597
Model,Data/ DB,2.8306
Model,Data/ DB,3.7399
Model,Data/ DB,3.2586
Model,Data/ DB,0.6645
Model,DOC,2.244
Model,DOC,2.2441
Model,DOC,1.9379
Model,DOC,3.2568
Model,DOC,3.8516
Model,DOC,2.6939
Model,DOC,4.9288
Model,DOC,2.7954
Model,DOC,2.6329
Model,DOC,2.5981
Model,DOC,2.479
Model,DOC,1.805
Model,archive,3.6515
Model,archive,0.0906
Model,archive,0.1031
Model,archive,6.3589
Model,archive,0.113
Model,archive,0.1498
Model,archive,0.4472
Model,archive,0.0966
Model,archive,9.9278
Model,archive,0.0189
Model,Js,5.8624
Model,Js,5.8641
Model,Js,2.5907
Model,Js,0.8083
Model,Js,1.4375
Model,Js,0.1809
Model,Js,1.792
Model,Js,0.1766
Model,Js,2.5085
Model,Js,0.1576
Model,Js,0.0236
Model,.urdf,1.9293
Model,.mtl,1.8927
Model,Config,0.8304
Model,Config,0.8306
Model,Config,0.4397
Model,Config,6.9026
Model,Config,7.063
Model,Config,0.4962
Model,Config,0.7687
Model,Config,0.2757
Model,Config,2.7091
Model,Config,0.6078
Model,Config,0.7805
Model,Config,0.3063
Model,Rust,3.6676
Model,Rust,3.6687
Model,Rust,0.1337
Model,Rust,0.1001
Model,Rust,0.4052
Model,Rust,2.3332
Model,Rust,0.1159
Model,Rust,2.2463
Model,Rust,0.0189
Model,Model/ Weight,4.7332
Model,Model/ Weight,4.7346
Model,Model/ Weight,0.9157
Model,Model/ Weight,0.6343
Model,Model/ Weight,0.613
Model,Model/ Weight,0.394
Model,Model/ Weight,1.2661
Model,Model/ Weight,0.8021
Model,Model/ Weight,0.2965
Model,Model/ Weight,0.5973
Model,Model/ Weight,0.5387
Model,Model/ Weight,0.8954
Model,debian,0.2222
Model,debian,0.2222
Model,debian,0.9248
Model,debian,1.7909
Model,debian,2.3706
Model,debian,1.4311
Model,debian,2.2948
Model,debian,1.1069
Model,debian,1.0661
Model,debian,0.9468
Model,debian,1.4429
Model,debian,0.7588
MLOps/ AIOps,Python,12.1655
MLOps/ AIOps,Python,3.7963
MLOps/ AIOps,Python,23.9149
MLOps/ AIOps,Python,39.1366
MLOps/ AIOps,Python,3.6059
MLOps/ AIOps,Python,19.6268
MLOps/ AIOps,Python,13.9704
MLOps/ AIOps,Python,13.9304
MLOps/ AIOps,Python,14.709
MLOps/ AIOps,Python,27.9358
MLOps/ AIOps,Python,20.0086
MLOps/ AIOps,Python,1.1543
MLOps/ AIOps,Python,17.2115
MLOps/ AIOps,Python,7.932
MLOps/ AIOps,Python,15.8609
MLOps/ AIOps,Python,15.0269
MLOps/ AIOps,Python,1.8394
MLOps/ AIOps,Python,4.6285
MLOps/ AIOps,Python,10.314
MLOps/ AIOps,Python,18.5196
MLOps/ AIOps,Python,13.9922
MLOps/ AIOps,Python,18.2762
MLOps/ AIOps,Python,4.8615
MLOps/ AIOps,Python,13.8568
MLOps/ AIOps,Python,0.0955
MLOps/ AIOps,Python,3.5813
MLOps/ AIOps,Python,16.4913
MLOps/ AIOps,Python,20.0901
MLOps/ AIOps,Python,28.029
MLOps/ AIOps,Python,27.8098
MLOps/ AIOps,Python,13.3539
MLOps/ AIOps,Python,15.0196
MLOps/ AIOps,Python,30.4914
MLOps/ AIOps,Python,2.967
MLOps/ AIOps,Python,36.4752
MLOps/ AIOps,Python,3.3265
MLOps/ AIOps,Python,3.6391
MLOps/ AIOps,Python,23.8551
MLOps/ AIOps,Python,22.3131
MLOps/ AIOps,Python,27.1991
MLOps/ AIOps,Python,21.398
MLOps/ AIOps,Python,18.9339
MLOps/ AIOps,Python,2.3382
MLOps/ AIOps,Python,31.033
MLOps/ AIOps,Python,21.9464
MLOps/ AIOps,Python,0.1459
MLOps/ AIOps,Python,25.3833
MLOps/ AIOps,Python,27.5384
MLOps/ AIOps,Python,6.9405
MLOps/ AIOps,Python,30.3251
MLOps/ AIOps,Python,24.9361
MLOps/ AIOps,Python,25.6176
MLOps/ AIOps,Python,13.5081
MLOps/ AIOps,Python,15.712
MLOps/ AIOps,Python,3.3258
MLOps/ AIOps,Python,30.2461
MLOps/ AIOps,Python,27.559
MLOps/ AIOps,Python,19.6337
MLOps/ AIOps,Python,13.6716
MLOps/ AIOps,Python,31.0539
MLOps/ AIOps,Python,19.6666
MLOps/ AIOps,Python,27.4719
MLOps/ AIOps,Python,13.3112
MLOps/ AIOps,Python,25.7151
MLOps/ AIOps,Python,16.408
MLOps/ AIOps,Python,32.5246
MLOps/ AIOps,Python,13.3771
MLOps/ AIOps,Python,21.8426
MLOps/ AIOps,Python,8.0332
MLOps/ AIOps,Python,21.6138
MLOps/ AIOps,Python,30.8046
MLOps/ AIOps,Python,5.2547
MLOps/ AIOps,Python,14.904
MLOps/ AIOps,Python,33.612
MLOps/ AIOps,Python,13.1769
MLOps/ AIOps,Python,0.1558
MLOps/ AIOps,Python,32.9471
MLOps/ AIOps,Python,24.9598
MLOps/ AIOps,PEP,5.6244
MLOps/ AIOps,PEP,1.1596
MLOps/ AIOps,PEP,16.4711
MLOps/ AIOps,PEP,38.5434
MLOps/ AIOps,PEP,0.2589
MLOps/ AIOps,PEP,16.4518
MLOps/ AIOps,PEP,13.0398
MLOps/ AIOps,PEP,14.0869
MLOps/ AIOps,PEP,13.639
MLOps/ AIOps,PEP,25.8502
MLOps/ AIOps,PEP,23.9884
MLOps/ AIOps,PEP,0.2879
MLOps/ AIOps,PEP,17.3072
MLOps/ AIOps,PEP,8.4004
MLOps/ AIOps,PEP,12.141
MLOps/ AIOps,PEP,14.9046
MLOps/ AIOps,PEP,1.8715
MLOps/ AIOps,PEP,4.1808
MLOps/ AIOps,PEP,9.5041
MLOps/ AIOps,PEP,17.0287
MLOps/ AIOps,PEP,12.3111
MLOps/ AIOps,PEP,12.3895
MLOps/ AIOps,PEP,5.1251
MLOps/ AIOps,PEP,13.9685
MLOps/ AIOps,PEP,13.799
MLOps/ AIOps,PEP,17.2841
MLOps/ AIOps,PEP,25.0299
MLOps/ AIOps,PEP,8.6666
MLOps/ AIOps,PEP,14.3099
MLOps/ AIOps,PEP,14.8973
MLOps/ AIOps,PEP,29.4044
MLOps/ AIOps,PEP,3.1257
MLOps/ AIOps,PEP,35.4561
MLOps/ AIOps,PEP,1.1984
MLOps/ AIOps,PEP,2.9037
MLOps/ AIOps,PEP,21.3135
MLOps/ AIOps,PEP,19.8735
MLOps/ AIOps,PEP,23.4237
MLOps/ AIOps,PEP,19.3087
MLOps/ AIOps,PEP,21.4808
MLOps/ AIOps,PEP,2.3225
MLOps/ AIOps,PEP,19.3061
MLOps/ AIOps,PEP,21.9318
MLOps/ AIOps,PEP,24.3105
MLOps/ AIOps,PEP,1.2938
MLOps/ AIOps,PEP,22.0271
MLOps/ AIOps,PEP,21.021
MLOps/ AIOps,PEP,2.7756
MLOps/ AIOps,PEP,12.9237
MLOps/ AIOps,PEP,2.8887
MLOps/ AIOps,PEP,5.2904
MLOps/ AIOps,PEP,11.4039
MLOps/ AIOps,PEP,17.6769
MLOps/ AIOps,PEP,10.9166
MLOps/ AIOps,PEP,23.5054
MLOps/ AIOps,PEP,16.9399
MLOps/ AIOps,PEP,27.3256
MLOps/ AIOps,PEP,1.1779
MLOps/ AIOps,PEP,24.3657
MLOps/ AIOps,PEP,11.6798
MLOps/ AIOps,PEP,28.4329
MLOps/ AIOps,PEP,5.9987
MLOps/ AIOps,PEP,21.8139
MLOps/ AIOps,PEP,6.4593
MLOps/ AIOps,PEP,20.8728
MLOps/ AIOps,PEP,29.3648
MLOps/ AIOps,PEP,1.2757
MLOps/ AIOps,PEP,11.3013
MLOps/ AIOps,PEP,21.9352
MLOps/ AIOps,PEP,6.7266
MLOps/ AIOps,PEP,2.8376
MLOps/ AIOps,PEP,23.3506
MLOps/ AIOps,C/C++,11.4007
MLOps/ AIOps,C/C++,5.5024
MLOps/ AIOps,C/C++,8.5362
MLOps/ AIOps,C/C++,3.4502
MLOps/ AIOps,C/C++,20.4182
MLOps/ AIOps,C/C++,5.7723
MLOps/ AIOps,C/C++,9.0659
MLOps/ AIOps,C/C++,14.0561
MLOps/ AIOps,C/C++,14.6521
MLOps/ AIOps,C/C++,20.125
MLOps/ AIOps,C/C++,12.6987
MLOps/ AIOps,C/C++,1.6094
