Category,Repos,file_type,total_size,total_number,perc_size,perc_num
Model,ultralytics/yolov5,.a,860244130,137,3.5804,0.066
Model,ultralytics/yolov5,bin,35348928,1,0.1471,0.0005
Model,ultralytics/yolov5,bin,33717144,1,0.1403,0.0005
Model,ultralytics/yolov5,gcc,24629240,1,0.1025,0.0005
Model,ultralytics/yolov5,bin,15212192,1,0.0633,0.0005
Model,ultralytics/yolov5,bin,15122440,1,0.0629,0.0005
Model,ultralytics/yolov5,ctest,37226675,6,0.1549,0.0029
Model,ultralytics/yolov5,.74cf844f32c3228a619e.1.2,27031198,2,0.1125,0.001
Model,ultralytics/yolov5,bin,13510432,1,0.0562,0.0005
Model,ultralytics/yolov5,PEP,1579117362,28244,6.5723,13.6122
Model,ultralytics/yolov5,cpack,33355338,6,0.1388,0.0029
Model,ultralytics/yolov5,ELF/COFF,17775565112,4173,73.9824,2.0112
Model,ultralytics/yolov5,bin,10174128,1,0.0423,0.0005
Model,ultralytics/yolov5,bin,9943424,1,0.0414,0.0005
Model,ultralytics/yolov5,bin,9159896,1,0.0381,0.0005
Model,ultralytics/yolov5,cache,8708073,1,0.0362,0.0005
Model,ultralytics/yolov5,cache,8678728,1,0.0361,0.0005
Model,ultralytics/yolov5,bin,8567304,1,0.0357,0.0005
Model,ultralytics/yolov5,.tsv,34256772,4,0.1426,0.0019
Model,ultralytics/yolov5,ninja,15598112,2,0.0649,0.001
Model,ultralytics/yolov5,bin,5866920,1,0.0244,0.0005
Model,ultralytics/yolov5,.mgc,17434608,3,0.0726,0.0014
Model,ultralytics/yolov5,bin,5664800,1,0.0236,0.0005
Model,ultralytics/yolov5,bin,5659952,1,0.0236,0.0005
Model,ultralytics/yolov5,Makefile,5541888,1,0.0231,0.0005
Model,ultralytics/yolov5,bin,5533504,1,0.023,0.0005
Model,ultralytics/yolov5,rg,9830016,2,0.0409,0.001
Model,ultralytics/yolov5,PEP,4589000,1,0.0191,0.0005
Model,ultralytics/yolov5,.74cf844f32c3228a619e.1,8873468,2,0.0369,0.001
Model,ultralytics/yolov5,.4d56d8a74685f09ed4a6.1,8820184,2,0.0367,0.001
Model,ultralytics/yolov5,dlprof,3961896,2,0.0165,0.001
Model,ultralytics/yolov5,.8986c1867721f77486dc.1.2,7602018,2,0.0316,0.001
Model,ultralytics/yolov5,PEP,3746232,1,0.0156,0.0005
Model,ultralytics/yolov5,bin,3478464,1,0.0145,0.0005
Model,ultralytics/yolov5,bin,2906824,1,0.0121,0.0005
Model,ultralytics/yolov5,x86_64-conda_cos6-linux-gnu-ld,5484752,2,0.0228,0.001
Model,ultralytics/yolov5,x86_64-conda-linux-gnu-ld,5484752,2,0.0228,0.001
Model,ultralytics/yolov5,PEP,2586864,1,0.0108,0.0005
Model,ultralytics/yolov5,PEP,2500192,1,0.0104,0.0005
Model,ultralytics/yolov5,Goland,4738017,15,0.0197,0.0072
Model,ultralytics/yolov5,bin,2312584,1,0.0096,0.0005
Model,ultralytics/yolov5,bin,2312584,1,0.0096,0.0005
