Category,Repos,file_type,total_size,total_number,perc_size,perc_num
Documentation,yandexdataschool/Practical_RL,cache,91610947,1,0.0001,0.001
Documentation,yandexdataschool/Practical_RL,cache,91593856,1,0.0001,0.001
Documentation,yandexdataschool/Practical_RL,.5m.1,62757194,5,0.0,0.0049
Documentation,yandexdataschool/Practical_RL,.a,25879926,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,cache,24831592,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,cache,24742636,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,gcc,21749208,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,gcc,20030840,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,.a,19760324,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,cache,17219168,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,cache,16977626,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,9f349e7ef9cbd8b6fc33427ac5bc4b50286d1f573805bb012cd3f0b9,26780631,2,0.0,0.002
Documentation,yandexdataschool/Practical_RL,cache,13042380,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,cache,12845829,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,3630aec854bbde544157452fef073a16c3b410782a30c1d2bf83465a,23520513,2,0.0,0.002
Documentation,yandexdataschool/Practical_RL,cache,10837869,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,cache,10738368,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,cache,10116047,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,cache,10040859,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,cache,8878436,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,bin,6208992,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,ctest,5536170,3,0.0,0.0029
Documentation,yandexdataschool/Practical_RL,cache,5517243,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,cache,5327137,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,cpack,4648060,3,0.0,0.0029
Documentation,yandexdataschool/Practical_RL,PEP,4547880,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,bin,4464368,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,cache,4437232,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,.mgc,7761312,2,0.0,0.002
Documentation,yandexdataschool/Practical_RL,cache,3195259,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,cache,3195245,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,bin,2928584,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,bin,2924488,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,Goland,5865968,10,0.0,0.0098
Documentation,yandexdataschool/Practical_RL,bin,2916856,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,bin,2826160,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,cache,2812201,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,cache,2776115,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,bin,2724592,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,bin,2724592,1,0.0,0.001
Documentation,yandexdataschool/Practical_RL,cache,2226404,1,0.0,0.001
