Image,RepoTag,config_size,config_digest,created,created_by,empty_layer,comments
milesg/gordo-model-server,latest,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,2019-10-16T23:29:18.87787291Z,/bin/sh -c #(nop) ADD file:37512e59e7c324f9ec5b01628ef87efee73d2092cfe97d05ca949dc3528e4c2a in / ,,
milesg/gordo-model-server,latest,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,2019-10-16T23:29:19.098768451Z,"/bin/sh -c #(nop)  CMD [""bash""]",True,
milesg/gordo-model-server,latest,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,2019-10-17T05:08:01.668473742Z,/bin/sh -c #(nop)  ENV PATH=/usr/local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin,True,
milesg/gordo-model-server,latest,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,2019-10-17T05:08:01.931231013Z,/bin/sh -c #(nop)  ENV LANG=C.UTF-8,True,
milesg/gordo-model-server,latest,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,2019-10-17T06:20:15.652190509Z,/bin/sh -c apt-get update && apt-get install -y --no-install-recommends 		ca-certificates 		netbase 	&& rm -rf /var/lib/apt/lists/*,,
milesg/gordo-model-server,latest,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,2019-10-17T06:20:15.903256027Z,/bin/sh -c #(nop)  ENV GPG_KEY=0D96DF4D4110E5C43FBFB17F2D347EA6AA65421D,True,
milesg/gordo-model-server,latest,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,2019-10-17T06:50:43.239949431Z,/bin/sh -c #(nop)  ENV PYTHON_VERSION=3.6.9,True,
milesg/gordo-model-server,latest,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,2019-10-17T06:57:36.402848275Z,"/bin/sh -c set -ex 		&& savedAptMark=""$(apt-mark showmanual)"" 	&& apt-get update && apt-get install -y --no-install-recommends 		dpkg-dev 		gcc 		libbz2-dev 		libc6-dev 		libexpat1-dev 		libffi-dev 		libgdbm-dev 		liblzma-dev 		libncursesw5-dev 		libreadline-dev 		libsqlite3-dev 		libssl-dev 		make 		tk-dev 		wget 		xz-utils 		zlib1g-dev 		$(command -v gpg > /dev/null || echo 'gnupg dirmngr') 		&& wget -O python.tar.xz ""https://www.python.org/ftp/python/${PYTHON_VERSION%%[a-z]*}/Python-$PYTHON_VERSION.tar.xz"" 	&& wget -O python.tar.xz.asc ""https://www.python.org/ftp/python/${PYTHON_VERSION%%[a-z]*}/Python-$PYTHON_VERSION.tar.xz.asc"" 	&& export GNUPGHOME=""$(mktemp -d)"" 	&& gpg --batch --keyserver ha.pool.sks-keyservers.net --recv-keys ""$GPG_KEY"" 	&& gpg --batch --verify python.tar.xz.asc python.tar.xz 	&& { command -v gpgconf > /dev/null && gpgconf --kill all || :; } 	&& rm -rf ""$GNUPGHOME"" python.tar.xz.asc 	&& mkdir -p /usr/src/python 	&& tar -xJC /usr/src/python --strip-components=1 -f python.tar.xz 	&& rm python.tar.xz 		&& cd /usr/src/python 	&& gnuArch=""$(dpkg-architecture --query DEB_BUILD_GNU_TYPE)"" 	&& ./configure 		--build=""$gnuArch"" 		--enable-loadable-sqlite-extensions 		--enable-optimizations 		--enable-shared 		--with-system-expat 		--with-system-ffi 		--without-ensurepip 	&& make -j ""$(nproc)"" 		PROFILE_TASK='-m test.regrtest --pgo 			test_array 			test_base64 			test_binascii 			test_binhex 			test_binop 			test_bytes 			test_c_locale_coercion 			test_class 			test_cmath 			test_codecs 			test_compile 			test_complex 			test_csv 			test_decimal 			test_dict 			test_float 			test_fstring 			test_hashlib 			test_io 			test_iter 			test_json 			test_long 			test_math 			test_memoryview 			test_pickle 			test_re 			test_set 			test_slice 			test_struct 			test_threading 			test_time 			test_traceback 			test_unicode 		' 	&& make install 	&& ldconfig 		&& apt-mark auto '.*' > /dev/null 	&& apt-mark manual $savedAptMark 	&& find /usr/local -type f -executable -not \( -name '*tkinter*' \) -exec ldd '{}' ';' 		| awk '/=>/ { print $(NF-1) }' 		| sort -u 		| xargs -r dpkg-query --search 		| cut -d: -f1 		| sort -u 		| xargs -r apt-mark manual 	&& apt-get purge -y --auto-remove -o APT::AutoRemove::RecommendsImportant=false 	&& rm -rf /var/lib/apt/lists/* 		&& find /usr/local -depth 		\( 			\( -type d -a \( -name test -o -name tests \) \) 			-o 			\( -type f -a \( -name '*.pyc' -o -name '*.pyo' \) \) 		\) -exec rm -rf '{}' + 	&& rm -rf /usr/src/python 		&& python3 --version",,
milesg/gordo-model-server,latest,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,2019-10-17T06:57:37.220939713Z,/bin/sh -c cd /usr/local/bin 	&& ln -s idle3 idle 	&& ln -s pydoc3 pydoc 	&& ln -s python3 python 	&& ln -s python3-config python-config,,
milesg/gordo-model-server,latest,9274,sha256:89ebb9420ebc603c6219962a7dcde5d994215551989e256f1c2dc4f5a578b1ba,2019-10-17T06:57:37.404133055Z,/bin/sh -c #(nop)  ENV PYTHON_PIP_VERSION=19.3,True,
