Image,RepoTag,layer_digest,total_files,total_directory,total_empty_dirs,file_type,file_type_counts,avg_level,median_level,max_level,min_level,,avg_size,median_size,max_size,min_size
tensorflow/serving,nightly-gpu,10e6518770cec1236ea0a2f2fd8c713daae598fc13a824b6b7cc697654eac4e9,1,1,0,.,1,2.0,2.0,2,2,,0.0,0.0,0,0
tensorflow/serving,nightly-gpu,9f48ee2baf5ec1a058425b325e0ad198e8477fc113acd3aa6f9cff09cccf4adb,1,0,0,none,1,1.0,1.0,1,1,,16047.0,16047.0,16047,16047
tensorflow/serving,nightly-gpu,7841bb66ba6cd771da20933ae8e6fa171b9585ea4e821f2c835f2d4f3965b3cf,45,32,4,.,4,4.75,5.0,5,4,,0.0,0.0,0,0
tensorflow/serving,nightly-gpu,7841bb66ba6cd771da20933ae8e6fa171b9585ea4e821f2c835f2d4f3965b3cf,45,32,4,.so,12,5.083333333333333,4.0,7,2,,114908438.33333333,11570152.0,625245504,16356
tensorflow/serving,nightly-gpu,7841bb66ba6cd771da20933ae8e6fa171b9585ea4e821f2c835f2d4f3965b3cf,45,32,4,none,11,4.454545454545454,4.0,5,4,,38821.36363636364,2367.0,173589,0
tensorflow/serving,nightly-gpu,7841bb66ba6cd771da20933ae8e6fa171b9585ea4e821f2c835f2d4f3965b3cf,45,32,4,.Debian,1,5.0,5.0,5,5,,149.0,149.0,149,149
tensorflow/serving,nightly-gpu,7841bb66ba6cd771da20933ae8e6fa171b9585ea4e821f2c835f2d4f3965b3cf,45,32,4,.dat,3,4.0,4.0,4,4,,177269.33333333334,14666.0,517142,0
tensorflow/serving,nightly-gpu,7841bb66ba6cd771da20933ae8e6fa171b9585ea4e821f2c835f2d4f3965b3cf,45,32,4,.triggers,2,5.0,5.0,5,5,,74.0,74.0,74,74
tensorflow/serving,nightly-gpu,7841bb66ba6cd771da20933ae8e6fa171b9585ea4e821f2c835f2d4f3965b3cf,45,32,4,.shlibs,2,5.0,5.0,5,5,,44.0,44.0,49,39
tensorflow/serving,nightly-gpu,7841bb66ba6cd771da20933ae8e6fa171b9585ea4e821f2c835f2d4f3965b3cf,45,32,4,.list,3,5.0,5.0,5,5,,443.6666666666667,353.0,678,300
