Image,RepoTag,schemaVersion,mediaType,config_mediaType,config_size,config_digest,layers_mediaType,layers_size,layers_digest
arunothia/cs-221,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,application/vnd.docker.image.rootfs.diff.tar.gzip,44145376,sha256:976a760c94fcdd7d105269ae621e8269e7bb25a58c52ae667b4029a6bc7e33cb
arunothia/cs-221,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,application/vnd.docker.image.rootfs.diff.tar.gzip,529,sha256:c58992f3c37bb64aeba18910408cda9a7a63e212fe27e95065a8d54130ca5926
arunothia/cs-221,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,application/vnd.docker.image.rootfs.diff.tar.gzip,846,sha256:0ca0e5e7f12e6eb512246aea5579fcb771fe7203bc60944384d5cd7962f87ddb
arunothia/cs-221,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,application/vnd.docker.image.rootfs.diff.tar.gzip,168,sha256:f2a274cc00ca5f671b1740c43672dbc96504760cee585e7604029a3fe56854a8
arunothia/cs-221,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,application/vnd.docker.image.rootfs.diff.tar.gzip,6866388,sha256:708a53113e13a385afdeddfe409f4b7b71e65b1e5cff48ba33906c8803e19808
arunothia/cs-221,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,application/vnd.docker.image.rootfs.diff.tar.gzip,255647,sha256:371ddc2ca87b5c7dcc222a5639f62ae01cf0331eae45f9d4c3337be2a3281aba
arunothia/cs-221,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,application/vnd.docker.image.rootfs.diff.tar.gzip,184,sha256:f81888eb6932ae080e56c56fb0125cb34fe1dbaeaffa10033566a4fb3996b6bd
arunothia/cs-221,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,application/vnd.docker.image.rootfs.diff.tar.gzip,507386802,sha256:19dbd9dd59d603afdcbc2562776018c7603baa70584d7fea6a2bda2d5dd4f938
arunothia/cs-221,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,application/vnd.docker.image.rootfs.diff.tar.gzip,615790425,sha256:e07d92c8415ded7e9deeee9e7aae8b59a9d2f68ce940d27ea0c3d5a432a5f848
arunothia/cs-221,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,application/vnd.docker.image.rootfs.diff.tar.gzip,422530883,sha256:aa4c26baf056455b4d60f2a5b39e752452d50438948f2a843e0c0f20e2c3496c
arunothia/cs-221,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,application/vnd.docker.image.rootfs.diff.tar.gzip,72875056,sha256:fe9dde43cc64b4bfb2f2732dd566c517e50bb46c269b5fcc5b451f2bf11a61f2
arunothia/cs-221,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,application/vnd.docker.image.rootfs.diff.tar.gzip,40471259,sha256:e49c3ce21dd4ea3ffe83fd9a17225489a5b6ffebdb63c21113fca2d6122ce499
arunothia/cs-221,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,application/vnd.docker.image.rootfs.diff.tar.gzip,77779232,sha256:9e5b8bf4171be110885929558630e90f015778d4a67f3cf1af4f65fbd8b0e4e5
arunothia/cs-221,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,application/vnd.docker.image.rootfs.diff.tar.gzip,205,sha256:68efd4219edbddbd5fd84943870e8b17c79773bf0904c8d410e2d32ef0fef23a
arunothia/cs-221,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,application/vnd.docker.image.rootfs.diff.tar.gzip,2846270557,sha256:aa46aa575eb4e61663466bcc8249d9a7b626a58e5d7c234598bf5454cedeb1e7
arunothia/cs-221,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,14488,sha256:51cd9397973f59b48a7bbf1a8471f2a8cabe11e73592b7b433f349a9523f5c45,application/vnd.docker.image.rootfs.diff.tar.gzip,99,sha256:fa4ef7cbdf447d70ac330cff8200bb45b3b7bb867e71b2d82e61ec61fba2d133
faceswap/faceswap,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,15905,sha256:028dd4546b966c2bf5ea80db740810599fb4aec6049ebf5b432cc69b408711ca,application/vnd.docker.image.rootfs.diff.tar.gzip,46496785,sha256:61e03ba1d4149ac4eb681c6bf75aef8ac4b3f0d6fbb08e9623c4089889396fc8
faceswap/faceswap,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,15905,sha256:028dd4546b966c2bf5ea80db740810599fb4aec6049ebf5b432cc69b408711ca,application/vnd.docker.image.rootfs.diff.tar.gzip,849,sha256:4afb39f216bd4e336f9b78584bae0f6bcb77150107471d8d67d3b8abfbdea46a
faceswap/faceswap,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,15905,sha256:028dd4546b966c2bf5ea80db740810599fb4aec6049ebf5b432cc69b408711ca,application/vnd.docker.image.rootfs.diff.tar.gzip,528,sha256:e489abdc9f902f737bfef2c0c7ff5c35ca9b3ca11e73405a472f31a25f2dcc69
faceswap/faceswap,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,15905,sha256:028dd4546b966c2bf5ea80db740810599fb4aec6049ebf5b432cc69b408711ca,application/vnd.docker.image.rootfs.diff.tar.gzip,169,sha256:999fff7bcc2450fcf1210182802f3907e35cd7cf7569568bd2a179b9144d9c57
faceswap/faceswap,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,15905,sha256:028dd4546b966c2bf5ea80db740810599fb4aec6049ebf5b432cc69b408711ca,application/vnd.docker.image.rootfs.diff.tar.gzip,6838205,sha256:b7dcdef0a7c0d271e226bcd4f38972104ffec24261dcd4dbf343295074f8b01c
faceswap/faceswap,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,15905,sha256:028dd4546b966c2bf5ea80db740810599fb4aec6049ebf5b432cc69b408711ca,application/vnd.docker.image.rootfs.diff.tar.gzip,8482051,sha256:46cbf9b721481039bf1ea7e21dcd5c977bfbd4d1a7975b1d7af3eebad37a5344
faceswap/faceswap,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,15905,sha256:028dd4546b966c2bf5ea80db740810599fb4aec6049ebf5b432cc69b408711ca,application/vnd.docker.image.rootfs.diff.tar.gzip,184,sha256:f8499c867828c2b3fd4f642f183a518458fc7b58a198cd49978ebe2070588daf
faceswap/faceswap,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,15905,sha256:028dd4546b966c2bf5ea80db740810599fb4aec6049ebf5b432cc69b408711ca,application/vnd.docker.image.rootfs.diff.tar.gzip,6432,sha256:9779affbf9bbe369b7682f0b855f32f42518058f145690c6871e04d07fcd121e
faceswap/faceswap,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,15905,sha256:028dd4546b966c2bf5ea80db740810599fb4aec6049ebf5b432cc69b408711ca,application/vnd.docker.image.rootfs.diff.tar.gzip,664554597,sha256:f70c50ed89541d465eae04349c0d4044a1aa36313239e1cc8c7e761c2e885ba5
faceswap/faceswap,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,15905,sha256:028dd4546b966c2bf5ea80db740810599fb4aec6049ebf5b432cc69b408711ca,application/vnd.docker.image.rootfs.diff.tar.gzip,71841,sha256:ef56c33d7f38acc21749c037d5a1024b93782c61a3cd254e76c8686f17522e69
faceswap/faceswap,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,15905,sha256:028dd4546b966c2bf5ea80db740810599fb4aec6049ebf5b432cc69b408711ca,application/vnd.docker.image.rootfs.diff.tar.gzip,799301323,sha256:39d62f4ce907cf86ff880bc677da5f6d9f497e16d03a4424e68822c8b100b223
faceswap/faceswap,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,15905,sha256:028dd4546b966c2bf5ea80db740810599fb4aec6049ebf5b432cc69b408711ca,application/vnd.docker.image.rootfs.diff.tar.gzip,94264,sha256:8ff8fd8ed0da279672cbdcac8397f813f5a332ffebf938d49c6926c2dfa48d0a
faceswap/faceswap,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,15905,sha256:028dd4546b966c2bf5ea80db740810599fb4aec6049ebf5b432cc69b408711ca,application/vnd.docker.image.rootfs.diff.tar.gzip,532398267,sha256:83aeae49cdb0cbf0ba5c86a63de4fb07adc35af97de1109f14414e460ae53d30
faceswap/faceswap,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,15905,sha256:028dd4546b966c2bf5ea80db740810599fb4aec6049ebf5b432cc69b408711ca,application/vnd.docker.image.rootfs.diff.tar.gzip,22982404,sha256:3ba00fc47e46aed8921039ae6b99d5046710d7d2b365f066ef97a6c2ec2a925b
faceswap/faceswap,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,15905,sha256:028dd4546b966c2bf5ea80db740810599fb4aec6049ebf5b432cc69b408711ca,application/vnd.docker.image.rootfs.diff.tar.gzip,33941510,sha256:ef5c4846b9ee55638a8148ef1fa93c7a4997889a1bfa9b0fe2a62793488dbbc2
faceswap/faceswap,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,15905,sha256:028dd4546b966c2bf5ea80db740810599fb4aec6049ebf5b432cc69b408711ca,application/vnd.docker.image.rootfs.diff.tar.gzip,2618,sha256:87a723fcf18b7a19ded283a50a3b1d40ff26481e5c5898899a31c73ddecab44c
faceswap/faceswap,latest,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,15905,sha256:028dd4546b966c2bf5ea80db740810599fb4aec6049ebf5b432cc69b408711ca,application/vnd.docker.image.rootfs.diff.tar.gzip,219677,sha256:0bf4e309151cadac97feaff5a7177b92219821a0231e31e880e740840f051f32
