Image,RepoTag,schemaVersion,mediaType,config_mediaType,config_size,config_digest,layers_mediaType,layers_size,layers_digest
tensorflow/serving,nightly-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,11704,sha256:a0d609ff36c8616ab97ad1efffd6220f9ab38769b1bb76c92e503eb2a46e910a,application/vnd.docker.image.rootfs.diff.tar.gzip,26705075,sha256:284055322776031bac33723839acb0db2d063a525ba4fa1fd268a831c7553b26
tensorflow/serving,nightly-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,11704,sha256:a0d609ff36c8616ab97ad1efffd6220f9ab38769b1bb76c92e503eb2a46e910a,application/vnd.docker.image.rootfs.diff.tar.gzip,7216997,sha256:2c0b908991b7876987fb942308a94c862e4b0bff681a89c5eea84063b24acdc6
tensorflow/serving,nightly-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,11704,sha256:a0d609ff36c8616ab97ad1efffd6220f9ab38769b1bb76c92e503eb2a46e910a,application/vnd.docker.image.rootfs.diff.tar.gzip,11039315,sha256:05ce4be6255a29495eeba6dabfedd64295a2d2c3f28ca9dde60ff1098cd4bc12
tensorflow/serving,nightly-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,11704,sha256:a0d609ff36c8616ab97ad1efffd6220f9ab38769b1bb76c92e503eb2a46e910a,application/vnd.docker.image.rootfs.diff.tar.gzip,184,sha256:6642049ae5c6e08b84d073d63d8f0e28f7299d54924bb244de09cc15c3bbf2d7
tensorflow/serving,nightly-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,11704,sha256:a0d609ff36c8616ab97ad1efffd6220f9ab38769b1bb76c92e503eb2a46e910a,application/vnd.docker.image.rootfs.diff.tar.gzip,6433,sha256:9f48ee2baf5ec1a058425b325e0ad198e8477fc113acd3aa6f9cff09cccf4adb
tensorflow/serving,nightly-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,11704,sha256:a0d609ff36c8616ab97ad1efffd6220f9ab38769b1bb76c92e503eb2a46e910a,application/vnd.docker.image.rootfs.diff.tar.gzip,2005961908,sha256:e3f311802c77ded11b6ad1434597d06febdc60a1bda9a0bb97c8f5244765d90f
tensorflow/serving,nightly-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,11704,sha256:a0d609ff36c8616ab97ad1efffd6220f9ab38769b1bb76c92e503eb2a46e910a,application/vnd.docker.image.rootfs.diff.tar.gzip,280261904,sha256:7841bb66ba6cd771da20933ae8e6fa171b9585ea4e821f2c835f2d4f3965b3cf
tensorflow/serving,nightly-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,11704,sha256:a0d609ff36c8616ab97ad1efffd6220f9ab38769b1bb76c92e503eb2a46e910a,application/vnd.docker.image.rootfs.diff.tar.gzip,392826856,sha256:09a79e545c966ebe805b929bdf6d78e88933cf5e651ad58603e6ea8efc6aebb5
tensorflow/serving,nightly-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,11704,sha256:a0d609ff36c8616ab97ad1efffd6220f9ab38769b1bb76c92e503eb2a46e910a,application/vnd.docker.image.rootfs.diff.tar.gzip,129,sha256:10e6518770cec1236ea0a2f2fd8c713daae598fc13a824b6b7cc697654eac4e9
tensorflow/serving,nightly-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,11704,sha256:a0d609ff36c8616ab97ad1efffd6220f9ab38769b1bb76c92e503eb2a46e910a,application/vnd.docker.image.rootfs.diff.tar.gzip,279,sha256:d113964f6a9f96a6bf3d17908e44da2489de1e27cb10a621979ac9edf6cd3f4c
tensorflow/serving,nightly-devel-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,19723,sha256:fc89545d70792e6d9131119d0bac29043e69d9b65b50747b64c8786c05dbf910,application/vnd.docker.image.rootfs.diff.tar.gzip,26705075,sha256:284055322776031bac33723839acb0db2d063a525ba4fa1fd268a831c7553b26
tensorflow/serving,nightly-devel-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,19723,sha256:fc89545d70792e6d9131119d0bac29043e69d9b65b50747b64c8786c05dbf910,application/vnd.docker.image.rootfs.diff.tar.gzip,7216997,sha256:2c0b908991b7876987fb942308a94c862e4b0bff681a89c5eea84063b24acdc6
tensorflow/serving,nightly-devel-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,19723,sha256:fc89545d70792e6d9131119d0bac29043e69d9b65b50747b64c8786c05dbf910,application/vnd.docker.image.rootfs.diff.tar.gzip,11039315,sha256:05ce4be6255a29495eeba6dabfedd64295a2d2c3f28ca9dde60ff1098cd4bc12
tensorflow/serving,nightly-devel-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,19723,sha256:fc89545d70792e6d9131119d0bac29043e69d9b65b50747b64c8786c05dbf910,application/vnd.docker.image.rootfs.diff.tar.gzip,184,sha256:6642049ae5c6e08b84d073d63d8f0e28f7299d54924bb244de09cc15c3bbf2d7
tensorflow/serving,nightly-devel-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,19723,sha256:fc89545d70792e6d9131119d0bac29043e69d9b65b50747b64c8786c05dbf910,application/vnd.docker.image.rootfs.diff.tar.gzip,6433,sha256:9f48ee2baf5ec1a058425b325e0ad198e8477fc113acd3aa6f9cff09cccf4adb
tensorflow/serving,nightly-devel-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,19723,sha256:fc89545d70792e6d9131119d0bac29043e69d9b65b50747b64c8786c05dbf910,application/vnd.docker.image.rootfs.diff.tar.gzip,2195987428,sha256:bc23ba5f1556337967df1434945208b7aec27930169e79b02ef31d3db9db9b96
tensorflow/serving,nightly-devel-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,19723,sha256:fc89545d70792e6d9131119d0bac29043e69d9b65b50747b64c8786c05dbf910,application/vnd.docker.image.rootfs.diff.tar.gzip,556259607,sha256:cb9a6f2d3163ca4e27731e8151068ce1538038bd6c506ccd2a7938c1512a1aef
tensorflow/serving,nightly-devel-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,19723,sha256:fc89545d70792e6d9131119d0bac29043e69d9b65b50747b64c8786c05dbf910,application/vnd.docker.image.rootfs.diff.tar.gzip,81504219,sha256:7b3c3f53af3f684af5c9b10f00be56a4f5029f6afefc3718212667486261dcb2
tensorflow/serving,nightly-devel-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,19723,sha256:fc89545d70792e6d9131119d0bac29043e69d9b65b50747b64c8786c05dbf910,application/vnd.docker.image.rootfs.diff.tar.gzip,3284,sha256:a91c29493f9f166f67bb99f55fded4984c0ae9eb218a6328db78e3d69e9997b3
tensorflow/serving,nightly-devel-gpu,2,application/vnd.docker.distribution.manifest.v2+json,application/vnd.docker.container.image.v1+json,19723,sha256:fc89545d70792e6d9131119d0bac29043e69d9b65b50747b64c8786c05dbf910,application/vnd.docker.image.rootfs.diff.tar.gzip,3316789,sha256:fe720fc0e2b42943c4ca4d9dbd4dc1259272bb88b51699fb77db549a87c120ad
