Image,RepoTag,config_size,config_digest,created,created_by,empty_layer,comments
alphacep/kaldi-en,latest,5074,sha256:ddbd60ec5cf7cae0146380ae0532c2c0fa4048944828d8218516e5faec924c35,2021-09-28T01:22:25.047020365Z,/bin/sh -c #(nop) ADD file:d05a14b1e57f9cc8eeb316a843403bbb35176d6222d60d6ddbb34faba977e316 in / ,,
alphacep/kaldi-en,latest,5074,sha256:ddbd60ec5cf7cae0146380ae0532c2c0fa4048944828d8218516e5faec924c35,2021-09-28T01:22:25.646405559Z,"/bin/sh -c #(nop)  CMD [""bash""]",True,
alphacep/kaldi-en,latest,5074,sha256:ddbd60ec5cf7cae0146380ae0532c2c0fa4048944828d8218516e5faec924c35,2021-11-17T15:04:01.165347857Z,/bin/sh -c #(nop)  ARG KALDI_MKL,True,
alphacep/kaldi-en,latest,5074,sha256:ddbd60ec5cf7cae0146380ae0532c2c0fa4048944828d8218516e5faec924c35,2021-11-17T15:06:05.232342266Z,|1 KALDI_MKL=0 /bin/sh -c apt-get update &&     apt-get install -y --no-install-recommends         wget         bzip2         unzip         xz-utils         g++         make         cmake         git         python3         python3-dev         python3-websockets         python3-setuptools         python3-pip         python3-wheel         python3-cffi         zlib1g-dev         automake         autoconf         libtool         pkg-config         ca-certificates     && rm -rf /var/lib/apt/lists/*,,
alphacep/kaldi-en,latest,5074,sha256:ddbd60ec5cf7cae0146380ae0532c2c0fa4048944828d8218516e5faec924c35,2021-11-17T15:18:08.592448545Z,"|1 KALDI_MKL=0 /bin/sh -c git clone -b vosk --single-branch https://github.com/alphacep/kaldi /opt/kaldi     && cd /opt/kaldi/tools     && sed -i 's:status=0:exit 0:g' extras/check_dependencies.sh     && sed -i 's:--enable-ngram-fsts:--enable-ngram-fsts --disable-bin:g' Makefile     && make -j $(nproc) openfst cub     && if [ ""x$KALDI_MKL"" != ""x1"" ] ; then           extras/install_openblas_clapack.sh;        else           extras/install_mkl.sh;        fi         && cd /opt/kaldi/src     && if [ ""x$KALDI_MKL"" != ""x1"" ] ; then           ./configure --mathlib=OPENBLAS_CLAPACK --shared;        else           ./configure --mathlib=MKL --shared;        fi     && sed -i 's:-msse -msse2:-msse -msse2:g' kaldi.mk     && sed -i 's: -O1 : -O3 :g' kaldi.mk     && make -j $(nproc) online2 lm rnnlm         && git clone https://github.com/alphacep/vosk-api /opt/vosk-api     && cd /opt/vosk-api/src     && KALDI_MKL=$KALDI_MKL KALDI_ROOT=/opt/kaldi make -j $(nproc)     && cd /opt/vosk-api/python     && python3 ./setup.py install         && git clone https://github.com/alphacep/vosk-server /opt/vosk-server         && rm -rf /opt/vosk-api/src/*.o     && rm -rf /opt/kaldi     && rm -rf /root/.cache     && rm -rf /var/lib/apt/lists/*",,
alphacep/kaldi-en,latest,5074,sha256:ddbd60ec5cf7cae0146380ae0532c2c0fa4048944828d8218516e5faec924c35,2021-11-17T15:19:09.301077586Z,/bin/sh -c #(nop)  ENV MODEL_VERSION=0.22,True,
alphacep/kaldi-en,latest,5074,sha256:ddbd60ec5cf7cae0146380ae0532c2c0fa4048944828d8218516e5faec924c35,2021-11-17T15:20:13.567708442Z,/bin/sh -c mkdir /opt/vosk-model-en    && cd /opt/vosk-model-en    && wget -q http://alphacephei.com/kaldi/models/vosk-model-en-us-${MODEL_VERSION}.zip    && unzip vosk-model-en-us-${MODEL_VERSION}.zip    && mv vosk-model-en-us-${MODEL_VERSION} model    && rm -rf vosk-model-en-us-${MODEL_VERSION}.zip,,
alphacep/kaldi-en,latest,5074,sha256:ddbd60ec5cf7cae0146380ae0532c2c0fa4048944828d8218516e5faec924c35,2021-11-17T15:20:14.399422547Z,/bin/sh -c #(nop)  EXPOSE 2700,True,
alphacep/kaldi-en,latest,5074,sha256:ddbd60ec5cf7cae0146380ae0532c2c0fa4048944828d8218516e5faec924c35,2021-11-17T15:20:14.864243446Z,/bin/sh -c #(nop) WORKDIR /opt/vosk-server/websocket,True,
alphacep/kaldi-en,latest,5074,sha256:ddbd60ec5cf7cae0146380ae0532c2c0fa4048944828d8218516e5faec924c35,2021-11-17T15:20:15.322606665Z,"/bin/sh -c #(nop)  CMD [""python3"" ""./asr_server.py"" ""/opt/vosk-model-en/model""]",True,
