Topic,Repos,Tag,Metrics,Value
Model,araffin/rl-baselines-zoo,v1.1,Build/Execute,39.13
Model,araffin/rl-baselines-zoo,v1.1,Environment,0.0
Model,araffin/rl-baselines-zoo,v1.2,Permissions,0.0
Model,araffin/rl-baselines-zoo,v1.2,Filesystem,13.04
Model,araffin/rl-baselines-zoo,v1.2,Dependencies,47.83
Model,araffin/rl-baselines-zoo,v1.2,Build/Execute,39.13
Model,araffin/rl-baselines-zoo,v1.2,Environment,0.0
Model,araffin/rl-baselines-zoo,v1.3,Permissions,0.0
Model,araffin/rl-baselines-zoo,v1.3,Filesystem,13.04
Model,araffin/rl-baselines-zoo,v1.3,Dependencies,47.83
Model,araffin/rl-baselines-zoo,v1.3,Build/Execute,39.13
Model,araffin/rl-baselines-zoo,v1.3,Environment,0.0
Model,araffin/rl-baselines-zoo,v1.4,Permissions,0.0
Model,araffin/rl-baselines-zoo,v1.4,Filesystem,13.04
Model,araffin/rl-baselines-zoo,v1.4,Dependencies,47.83
Model,araffin/rl-baselines-zoo,v1.4,Build/Execute,39.13
Model,araffin/rl-baselines-zoo,v1.4,Environment,0.0
Model,araffin/rl-baselines-zoo,v1.5,Permissions,0.0
Model,araffin/rl-baselines-zoo,v1.5,Filesystem,13.04
Model,araffin/rl-baselines-zoo,v1.5,Dependencies,47.83
Model,araffin/rl-baselines-zoo,v1.5,Build/Execute,39.13
Model,araffin/rl-baselines-zoo,v1.5,Environment,0.0
Model,araffin/rl-baselines-zoo,v1.6,Permissions,0.0
Model,araffin/rl-baselines-zoo,v1.6,Filesystem,13.04
Model,araffin/rl-baselines-zoo,v1.6,Dependencies,47.83
Model,araffin/rl-baselines-zoo,v1.6,Build/Execute,39.13
Model,araffin/rl-baselines-zoo,v1.6,Environment,0.0
Model,IntelAI/models,v1.0.0,Permissions,16.73
Model,IntelAI/models,v1.0.0,Filesystem,16.53
Model,IntelAI/models,v1.0.0,Dependencies,41.96
Model,IntelAI/models,v1.0.0,Build/Execute,24.3
Model,IntelAI/models,v1.0.0,Environment,0.48
Model,IntelAI/models,v1.1.0,Permissions,16.73
Model,IntelAI/models,v1.1.0,Filesystem,16.53
Model,IntelAI/models,v1.1.0,Dependencies,41.96
Model,IntelAI/models,v1.1.0,Build/Execute,24.3
Model,IntelAI/models,v1.1.0,Environment,0.48
Model,IntelAI/models,v1.2.0,Permissions,16.73
Model,IntelAI/models,v1.2.0,Filesystem,16.53
Model,IntelAI/models,v1.2.0,Dependencies,41.96
Model,IntelAI/models,v1.2.0,Build/Execute,24.3
Model,IntelAI/models,v1.2.0,Environment,0.48
Model,IntelAI/models,v1.2.1,Permissions,16.73
Model,IntelAI/models,v1.2.1,Filesystem,16.53
Model,IntelAI/models,v1.2.1,Dependencies,41.96
Model,IntelAI/models,v1.2.1,Build/Execute,24.3
Model,IntelAI/models,v1.2.1,Environment,0.48
Model,IntelAI/models,v1.3.0,Permissions,16.73
Model,IntelAI/models,v1.3.0,Filesystem,16.53
Model,IntelAI/models,v1.3.0,Dependencies,41.96
Model,IntelAI/models,v1.3.0,Build/Execute,24.3
Model,IntelAI/models,v1.3.0,Environment,0.48
Model,IntelAI/models,v1.3.1,Permissions,16.73
Model,IntelAI/models,v1.3.1,Filesystem,16.53
Model,IntelAI/models,v1.3.1,Dependencies,41.96
Model,IntelAI/models,v1.3.1,Build/Execute,24.3
Model,IntelAI/models,v1.3.1,Environment,0.48
Model,IntelAI/models,v1.4.0,Permissions,16.73
Model,IntelAI/models,v1.4.0,Filesystem,16.53
Model,IntelAI/models,v1.4.0,Dependencies,41.96
Model,IntelAI/models,v1.4.0,Build/Execute,24.3
Model,IntelAI/models,v1.4.0,Environment,0.48
Model,IntelAI/models,v1.4.1,Permissions,16.73
Model,IntelAI/models,v1.4.1,Filesystem,16.53
Model,IntelAI/models,v1.4.1,Dependencies,41.96
Model,IntelAI/models,v1.4.1,Build/Execute,24.3
Model,IntelAI/models,v1.4.1,Environment,0.48
Model,IntelAI/models,v1.5.0,Permissions,16.73
Model,IntelAI/models,v1.5.0,Filesystem,16.53
Model,IntelAI/models,v1.5.0,Dependencies,41.96
Model,IntelAI/models,v1.5.0,Build/Execute,24.3
Model,IntelAI/models,v1.5.0,Environment,0.48
Model,IntelAI/models,v1.6.0,Permissions,16.73
Model,IntelAI/models,v1.6.0,Filesystem,16.53
Model,IntelAI/models,v1.6.0,Dependencies,41.96
Model,IntelAI/models,v1.6.0,Build/Execute,24.3
Model,IntelAI/models,v1.6.0,Environment,0.48
Model,IntelAI/models,v1.6.1,Permissions,16.73
Model,IntelAI/models,v1.6.1,Filesystem,16.53
Model,IntelAI/models,v1.6.1,Dependencies,41.96
Model,IntelAI/models,v1.6.1,Build/Execute,24.3
Model,IntelAI/models,v1.6.1,Environment,0.48
Model,IntelAI/models,v1.6.0.1,Permissions,16.73
Model,IntelAI/models,v1.6.0.1,Filesystem,16.53
Model,IntelAI/models,v1.6.0.1,Dependencies,41.96
Model,IntelAI/models,v1.6.0.1,Build/Execute,24.3
Model,IntelAI/models,v1.6.0.1,Environment,0.48
Model,IntelAI/models,v1.8.0,Permissions,16.73
Model,IntelAI/models,v1.8.0,Filesystem,16.53
Model,IntelAI/models,v1.8.0,Dependencies,41.96
Model,IntelAI/models,v1.8.0,Build/Execute,24.3
Model,IntelAI/models,v1.8.0,Environment,0.48
Model,IntelAI/models,v1.8.1,Permissions,16.73
Model,IntelAI/models,v1.8.1,Filesystem,16.53
Model,IntelAI/models,v1.8.1,Dependencies,41.96
Model,IntelAI/models,v1.8.1,Build/Execute,24.3
Model,IntelAI/models,v1.8.1,Environment,0.48
Model,IntelAI/models,v2.0.0,Permissions,16.73
Model,IntelAI/models,v2.0.0,Filesystem,16.53
Model,IntelAI/models,v2.0.0,Dependencies,41.96
Model,IntelAI/models,v2.0.0,Build/Execute,24.3
Model,IntelAI/models,v2.0.0,Environment,0.48
Model,IntelAI/models,v2.1.0,Permissions,16.73
Model,IntelAI/models,v2.1.0,Filesystem,16.53
Model,IntelAI/models,v2.1.0,Dependencies,41.96
Model,IntelAI/models,v2.1.0,Build/Execute,24.3
Model,IntelAI/models,v2.1.0,Environment,0.48
Model,IntelAI/models,v2.1.0-icx,Permissions,16.73
Model,IntelAI/models,v2.1.0-icx,Filesystem,16.53
Model,IntelAI/models,v2.1.0-icx,Dependencies,41.96
Model,IntelAI/models,v2.1.0-icx,Build/Execute,24.3
Model,IntelAI/models,v2.1.0-icx,Environment,0.48
Model,IntelAI/models,v2.1.1,Permissions,16.73
Model,IntelAI/models,v2.1.1,Filesystem,16.53
Model,IntelAI/models,v2.1.1,Dependencies,41.96
Model,IntelAI/models,v2.1.1,Build/Execute,24.3
Model,IntelAI/models,v2.1.1,Environment,0.48
Model,IntelAI/models,v2.2.0,Permissions,16.73
Model,IntelAI/models,v2.2.0,Filesystem,16.53
Model,IntelAI/models,v2.2.0,Dependencies,41.96
Model,IntelAI/models,v2.2.0,Build/Execute,24.3
Model,IntelAI/models,v2.2.0,Environment,0.48
Model,IntelAI/models,v2.3.0,Permissions,16.73
Model,IntelAI/models,v2.3.0,Filesystem,16.53
Model,IntelAI/models,v2.3.0,Dependencies,41.96
Model,IntelAI/models,v2.3.0,Build/Execute,24.3
Model,IntelAI/models,v2.3.0,Environment,0.48
Model,IntelAI/models,v2.4.0,Permissions,16.73
Model,IntelAI/models,v2.4.0,Filesystem,16.53
Model,IntelAI/models,v2.4.0,Dependencies,41.96
Model,IntelAI/models,v2.4.0,Build/Execute,24.3
Model,IntelAI/models,v2.4.0,Environment,0.48
Model,IntelAI/models,v2.5.0,Permissions,16.73
Model,IntelAI/models,v2.5.0,Filesystem,16.53
Model,IntelAI/models,v2.5.0,Dependencies,41.96
Model,IntelAI/models,v2.5.0,Build/Execute,24.3
Model,IntelAI/models,v2.5.0,Environment,0.48
Model,alexandrainst/danlp,v0.0.1,Permissions,0.0
Model,alexandrainst/danlp,v0.0.1,Filesystem,0.0
Model,alexandrainst/danlp,v0.0.1,Dependencies,50.0
Model,alexandrainst/danlp,v0.0.1,Build/Execute,50.0
Model,alexandrainst/danlp,v0.0.1,Environment,0.0
Model,alexandrainst/danlp,v0.0.2,Permissions,0.0
Model,alexandrainst/danlp,v0.0.2,Filesystem,0.0
Model,alexandrainst/danlp,v0.0.2,Dependencies,50.0
Model,alexandrainst/danlp,v0.0.2,Build/Execute,50.0
Model,alexandrainst/danlp,v0.0.2,Environment,0.0
Model,alexandrainst/danlp,v0.0.3,Permissions,0.0
Model,alexandrainst/danlp,v0.0.3,Filesystem,0.0
