Topic,Repos,Tag,Metrics,Value
AutoML,microsoft/nni,v0.1,ADD,6.25
AutoML,microsoft/nni,v0.1,COPY,6.25
AutoML,microsoft/nni,v0.1,USER,0.0
AutoML,microsoft/nni,v0.1,FROM,6.25
AutoML,microsoft/nni,v0.1,VOLUME,0.0
AutoML,microsoft/nni,v0.1,RUN,58.33
AutoML,microsoft/nni,v0.1,ARG,2.08
AutoML,microsoft/nni,v0.1,SHELL,0.0
AutoML,microsoft/nni,v0.1,LABEL,2.08
AutoML,microsoft/nni,v0.1,MAINTAINER,0.0
AutoML,microsoft/nni,v0.1,ENV,16.67
AutoML,microsoft/nni,v0.1,WORKDIR,2.08
AutoML,microsoft/nni,v0.1,CMD,0.0
AutoML,microsoft/nni,v0.1,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.2,ADD,6.25
AutoML,microsoft/nni,v0.2,COPY,6.25
AutoML,microsoft/nni,v0.2,USER,0.0
AutoML,microsoft/nni,v0.2,FROM,6.25
AutoML,microsoft/nni,v0.2,VOLUME,0.0
AutoML,microsoft/nni,v0.2,RUN,58.33
AutoML,microsoft/nni,v0.2,ARG,2.08
AutoML,microsoft/nni,v0.2,SHELL,0.0
AutoML,microsoft/nni,v0.2,LABEL,2.08
AutoML,microsoft/nni,v0.2,MAINTAINER,0.0
AutoML,microsoft/nni,v0.2,ENV,16.67
AutoML,microsoft/nni,v0.2,WORKDIR,2.08
AutoML,microsoft/nni,v0.2,CMD,0.0
AutoML,microsoft/nni,v0.2,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.3.0,ADD,6.25
AutoML,microsoft/nni,v0.3.0,COPY,6.25
AutoML,microsoft/nni,v0.3.0,USER,0.0
AutoML,microsoft/nni,v0.3.0,FROM,6.25
AutoML,microsoft/nni,v0.3.0,VOLUME,0.0
AutoML,microsoft/nni,v0.3.0,RUN,58.33
AutoML,microsoft/nni,v0.3.0,ARG,2.08
AutoML,microsoft/nni,v0.3.0,SHELL,0.0
AutoML,microsoft/nni,v0.3.0,LABEL,2.08
AutoML,microsoft/nni,v0.3.0,MAINTAINER,0.0
AutoML,microsoft/nni,v0.3.0,ENV,16.67
AutoML,microsoft/nni,v0.3.0,WORKDIR,2.08
AutoML,microsoft/nni,v0.3.0,CMD,0.0
AutoML,microsoft/nni,v0.3.0,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.3.1,ADD,6.25
AutoML,microsoft/nni,v0.3.1,COPY,6.25
AutoML,microsoft/nni,v0.3.1,USER,0.0
AutoML,microsoft/nni,v0.3.1,FROM,6.25
AutoML,microsoft/nni,v0.3.1,VOLUME,0.0
AutoML,microsoft/nni,v0.3.1,RUN,58.33
AutoML,microsoft/nni,v0.3.1,ARG,2.08
AutoML,microsoft/nni,v0.3.1,SHELL,0.0
AutoML,microsoft/nni,v0.3.1,LABEL,2.08
AutoML,microsoft/nni,v0.3.1,MAINTAINER,0.0
AutoML,microsoft/nni,v0.3.1,ENV,16.67
AutoML,microsoft/nni,v0.3.1,WORKDIR,2.08
AutoML,microsoft/nni,v0.3.1,CMD,0.0
AutoML,microsoft/nni,v0.3.1,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.3.2,ADD,6.25
AutoML,microsoft/nni,v0.3.2,COPY,6.25
AutoML,microsoft/nni,v0.3.2,USER,0.0
AutoML,microsoft/nni,v0.3.2,FROM,6.25
AutoML,microsoft/nni,v0.3.2,VOLUME,0.0
AutoML,microsoft/nni,v0.3.2,RUN,58.33
AutoML,microsoft/nni,v0.3.2,ARG,2.08
AutoML,microsoft/nni,v0.3.2,SHELL,0.0
AutoML,microsoft/nni,v0.3.2,LABEL,2.08
AutoML,microsoft/nni,v0.3.2,MAINTAINER,0.0
AutoML,microsoft/nni,v0.3.2,ENV,16.67
AutoML,microsoft/nni,v0.3.2,WORKDIR,2.08
AutoML,microsoft/nni,v0.3.2,CMD,0.0
AutoML,microsoft/nni,v0.3.2,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.3.3,ADD,6.25
AutoML,microsoft/nni,v0.3.3,COPY,6.25
AutoML,microsoft/nni,v0.3.3,USER,0.0
AutoML,microsoft/nni,v0.3.3,FROM,6.25
AutoML,microsoft/nni,v0.3.3,VOLUME,0.0
AutoML,microsoft/nni,v0.3.3,RUN,58.33
AutoML,microsoft/nni,v0.3.3,ARG,2.08
AutoML,microsoft/nni,v0.3.3,SHELL,0.0
AutoML,microsoft/nni,v0.3.3,LABEL,2.08
AutoML,microsoft/nni,v0.3.3,MAINTAINER,0.0
AutoML,microsoft/nni,v0.3.3,ENV,16.67
AutoML,microsoft/nni,v0.3.3,WORKDIR,2.08
AutoML,microsoft/nni,v0.3.3,CMD,0.0
AutoML,microsoft/nni,v0.3.3,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.3.4,ADD,6.25
AutoML,microsoft/nni,v0.3.4,COPY,6.25
AutoML,microsoft/nni,v0.3.4,USER,0.0
AutoML,microsoft/nni,v0.3.4,FROM,6.25
AutoML,microsoft/nni,v0.3.4,VOLUME,0.0
AutoML,microsoft/nni,v0.3.4,RUN,58.33
AutoML,microsoft/nni,v0.3.4,ARG,2.08
AutoML,microsoft/nni,v0.3.4,SHELL,0.0
AutoML,microsoft/nni,v0.3.4,LABEL,2.08
AutoML,microsoft/nni,v0.3.4,MAINTAINER,0.0
AutoML,microsoft/nni,v0.3.4,ENV,16.67
AutoML,microsoft/nni,v0.3.4,WORKDIR,2.08
AutoML,microsoft/nni,v0.3.4,CMD,0.0
AutoML,microsoft/nni,v0.3.4,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.4,ADD,6.25
AutoML,microsoft/nni,v0.4,COPY,6.25
AutoML,microsoft/nni,v0.4,USER,0.0
AutoML,microsoft/nni,v0.4,FROM,6.25
AutoML,microsoft/nni,v0.4,VOLUME,0.0
AutoML,microsoft/nni,v0.4,RUN,58.33
AutoML,microsoft/nni,v0.4,ARG,2.08
AutoML,microsoft/nni,v0.4,SHELL,0.0
AutoML,microsoft/nni,v0.4,LABEL,2.08
AutoML,microsoft/nni,v0.4,MAINTAINER,0.0
AutoML,microsoft/nni,v0.4,ENV,16.67
AutoML,microsoft/nni,v0.4,WORKDIR,2.08
AutoML,microsoft/nni,v0.4,CMD,0.0
AutoML,microsoft/nni,v0.4,ENTRYPOINT,0.0
AutoML,microsoft/nni,v0.4.1,ADD,6.25
AutoML,microsoft/nni,v0.4.1,COPY,6.25
AutoML,microsoft/nni,v0.4.1,USER,0.0
AutoML,microsoft/nni,v0.4.1,FROM,6.25
