Category,file_type,perc_number
Toolkit,archive,7.3758
Toolkit,archive,4.5214
Toolkit,archive,7.7803
Toolkit,archive,20.5144
Toolkit,archive,6.4041
Toolkit,archive,0.0372
Toolkit,archive,3.2333
Toolkit,archive,4.788
Toolkit,archive,0.0808
Toolkit,archive,9.2502
Toolkit,archive,0.0904
Toolkit,archive,0.4999
Toolkit,archive,4.8592
Toolkit,archive,3.9029
Toolkit,archive,0.0549
Toolkit,archive,0.0664
Toolkit,archive,1.2508
Toolkit,archive,0.1604
Toolkit,archive,3.4882
Toolkit,archive,3.1969
Toolkit,archive,0.3526
Toolkit,archive,0.07
Toolkit,archive,1.5037
Toolkit,archive,0.8909
Toolkit,archive,5.335
Toolkit,archive,0.049
Toolkit,archive,1.1918
Toolkit,archive,0.1422
Toolkit,archive,0.5039
Toolkit,archive,2.2574
Toolkit,archive,0.0516
Toolkit,archive,4.4103
Toolkit,archive,8.0922
Toolkit,archive,0.3534
Toolkit,archive,0.0704
MLOps/ AIOps,Python,12.1655
MLOps/ AIOps,Python,3.7963
MLOps/ AIOps,Python,23.9149
MLOps/ AIOps,Python,39.1366
MLOps/ AIOps,Python,3.6059
MLOps/ AIOps,Python,19.6268
MLOps/ AIOps,Python,13.9704
MLOps/ AIOps,Python,13.9304
MLOps/ AIOps,Python,14.709
MLOps/ AIOps,Python,27.9358
MLOps/ AIOps,Python,20.0086
MLOps/ AIOps,Python,1.1543
MLOps/ AIOps,Python,17.2115
MLOps/ AIOps,Python,7.932
MLOps/ AIOps,Python,15.8609
MLOps/ AIOps,Python,15.0269
MLOps/ AIOps,Python,1.8394
MLOps/ AIOps,Python,4.6285
MLOps/ AIOps,Python,10.314
MLOps/ AIOps,Python,18.5196
MLOps/ AIOps,Python,13.9922
MLOps/ AIOps,Python,18.2762
MLOps/ AIOps,Python,4.8615
MLOps/ AIOps,Python,13.8568
MLOps/ AIOps,Python,0.0955
MLOps/ AIOps,Python,3.5813
MLOps/ AIOps,Python,16.4913
MLOps/ AIOps,Python,20.0901
MLOps/ AIOps,Python,28.029
MLOps/ AIOps,Python,27.8098
MLOps/ AIOps,Python,13.3539
MLOps/ AIOps,Python,15.0196
MLOps/ AIOps,Python,30.4914
MLOps/ AIOps,Python,2.967
MLOps/ AIOps,Python,36.4752
MLOps/ AIOps,Python,3.3265
MLOps/ AIOps,Python,3.6391
MLOps/ AIOps,Python,23.8551
MLOps/ AIOps,Python,22.3131
MLOps/ AIOps,Python,27.1991
MLOps/ AIOps,Python,21.398
MLOps/ AIOps,Python,18.9321
MLOps/ AIOps,Python,2.3382
MLOps/ AIOps,Python,31.0317
MLOps/ AIOps,Python,21.9464
MLOps/ AIOps,Python,0.1459
MLOps/ AIOps,Python,25.3833
MLOps/ AIOps,Python,27.5371
MLOps/ AIOps,Python,6.9405
MLOps/ AIOps,Python,30.3251
MLOps/ AIOps,Python,24.9361
