Category,image,metrics,layer_size
Model,huggingface/transformers-tensorflow-cpu,CLS,1.1
Model,huggingface/transformers-tensorflow-cpu,CLS,1.91
Model,huggingface/transformers-tensorflow-cpu,CLS,1.29
Model,huggingface/transformers-tensorflow-cpu,CLS,3.53
Model,kyiimn/pororo,FLS,8.96
Model,kyiimn/pororo,CLS,3.64
Model,shinyeyes/keras-ocr,FLS,10.77
Model,shinyeyes/keras-ocr,CLS,3.06
Model,araffin/rl-baselines-zoo,FLS,128.01
Model,araffin/rl-baselines-zoo-cpu,FLS,128.0
Model,araffin/rl-baselines-zoo-cpu,CLS,1.91
Model,araffin/rl-baselines-zoo-cpu,CLS,1019.21
Model,intel/intel-optimized-tensorflow,FLS,1.05
Model,intel/intel-optimized-tensorflow,CLS,311.81
Toolkit,intelotc/dffml,FLS,8.72
Toolkit,intelotc/dffml,CLS,4.16
DL Framwork,arunothia/cs-221,FLS,256.03
DL Framwork,arunothia/cs-221,CLS,4.32
DL Framwork,datmo/xgboost,FLS,1.16
DL Framwork,datmo/xgboost,CLS,427.59
DL Framwork,apulistech/mmdetection,FLS,15.42
DL Framwork,apulistech/mmdetection,CLS,3.53
DL Framwork,allennlp/allennlp,FLS,19.55
DL Framwork,allennlp/allennlp,CLS,3.11
DL Framwork,nvidia/digits,FLS,256.01
DL Framwork,nvidia/digits,CLS,1.09
DL Framwork,tinydnn/tinydnn,FLS,2.25
DL Framwork,tinydnn/tinydnn,CLS,263.06
DL Framwork,hybridgroup/gocv,FLS,2.72
DL Framwork,hybridgroup/gocv,CLS,812.98
DL Framwork,catalystteam/catalyst,FLS,18.5
DL Framwork,catalystteam/catalyst,CLS,2.79
DL Framwork,principialabs/torch-points3d,FLS,8.37
DL Framwork,principialabs/torch-points3d,CLS,3.04
DL Framwork,kengz/slm_lab,FLS,256.0
DL Framwork,kengz/slm_lab,CLS,2.22
DL Framwork,datacanvas/deeptables-example,FLS,2.85
DL Framwork,datacanvas/deeptables-example,CLS,847.23
DL Framwork,sourabhbhide/stardist-tf24-gpu,FLS,9.24
DL Framwork,sourabhbhide/stardist-tf24-gpu,CLS,2.56
DL Framwork,flexflowai/cuda110,FLS,37.49
DL Framwork,flexflowai/cuda110,CLS,4.99
DL Framwork,alicevision/popsift,FLS,4.68
DL Framwork,alicevision/popsift,CLS,1.58
DL Framwork,juliareinforcementlearning/reinforcementlearningenvironments,FLS,3.6
DL Framwork,juliareinforcementlearning/reinforcementlearningenvironments,CLS,1.09
DL Framwork,baguasys/bagua,FLS,40.93
DL Framwork,baguasys/bagua,CLS,8.55
DL Framwork,smartdataanalytics/dl-learner,FLS,1.79
DL Framwork,smartdataanalytics/dl-learner,CLS,611.2
DL Framwork,rlgraph/rlgraph,FLS,12.11
DL Framwork,rlgraph/rlgraph,CLS,4.56
DL Framwork,tinyms/tinyms,FLS,2.01
DL Framwork,tinyms/tinyms,CLS,588.12
DL Framwork,carefree0910/carefree-learn-apps,FLS,921.73
DL Framwork,carefree0910/carefree-learn-deploy,FLS,30.55
DL Framwork,carefree0910/carefree-learn,FLS,22.74
DL Framwork,carefree0910/carefree-learn,CLS,378.86
DL Framwork,carefree0910/carefree-learn,CLS,6.98
DL Framwork,carefree0910/carefree-learn,CLS,6.46
DL Framwork,neuronets/nobrainer,FLS,19.84
DL Framwork,neuronets/nobrainer-zoo,FLS,12.07
DL Framwork,neuronets/nobrainer-zoo,CLS,5.51
DL Framwork,neuronets/nobrainer-zoo,CLS,3.0
DL Framwork,fastestimator/fastestimator,FLS,5.62
DL Framwork,fastestimator/fastestimator,CLS,2.05
DL Framwork,ridgerun/r2inference,FLS,6.89
DL Framwork,ridgerun/r2inference-ubuntu-18.04,FLS,6.89
DL Framwork,ridgerun/r2inference-ubuntu-18.04,CLS,834.52
DL Framwork,ridgerun/r2inference-ubuntu-18.04,CLS,834.52
DL Framwork,artifacts/variationanalysis-app,FLS,10.04
DL Framwork,artifacts/variationanalysis-app,CLS,5.76
DL Framwork,apache/singa,FLS,4.55
DL Framwork,apache/singa,CLS,1.02
DL Framwork,deepchemio/deepchem,FLS,19.64
DL Framwork,deepchemio/deepchem,CLS,6.42
DL Framwork,achaiah/pywick,FLS,27.21
DL Framwork,achaiah/pywick,CLS,10.01
DL Framwork,tensorflow/tensorflow,FLS,14.16
DL Framwork,tensorflow/tensorflow,CLS,3.23
DL Framwork,bvlc/caffe,FLS,3.14
