Category,image,metrics,layer_size
MLOps/ AIOps,kubeflow/kubeflow-triage,FLS,1671.3600000000001
MLOps/ AIOps,kubeflow/kubeflow-triage,CLS,626.57
MLOps/ AIOps,land007/tfjs-node,FLS,3562.91
MLOps/ AIOps,land007/tfjs-node,CLS,2560.65
MLOps/ AIOps,greatexpectations/great_expectations,FLS,1540.55
MLOps/ AIOps,greatexpectations/great_expectations,CLS,1640.79
MLOps/ AIOps,eugenefedorenko/mlopspython,FLS,1566.88
MLOps/ AIOps,eugenefedorenko/mlopspython,CLS,1060.73
MLOps/ AIOps,snapbuy/triton-inference-server,FLS,5807.799999999999
MLOps/ AIOps,snapbuy/triton-inference-server,CLS,8646.8
MLOps/ AIOps,quantumblacklabs/kedro_builder,FLS,3363.4700000000003
MLOps/ AIOps,quantumblacklabs/kedro_builder,CLS,2761.29
MLOps/ AIOps,nipreps/fmriprep,FLS,2971.9300000000003
MLOps/ AIOps,nipreps/fmriprep,CLS,3271.4300000000003
MLOps/ AIOps,awsdeeplearningteam/multi-model-server,FLS,4268.68
MLOps/ AIOps,awsdeeplearningteam/multi-model-server,CLS,2328.34
MLOps/ AIOps,selitvin/petastorm_ci_auto,FLS,2015.6200000000001
MLOps/ AIOps,selitvin/petastorm_ci_auto,CLS,3134.8300000000004
MLOps/ AIOps,awsdlcontainermirror/tensorflow-training,FLS,2546.6399999999994
MLOps/ AIOps,awsdlcontainermirror/tensorflow-training,CLS,4507.83
MLOps/ AIOps,universaldatatool/universaldatatool,FLS,2233.76
MLOps/ AIOps,universaldatatool/universaldatatool,CLS,1726.18
MLOps/ AIOps,flyteorg/flytesnacks,FLS,3436.17
MLOps/ AIOps,flyteorg/flytesnacks,CLS,2075.4199999999996
MLOps/ AIOps,kubeflow/mpi-operator,FLS,50.800000000000004
MLOps/ AIOps,kubeflow/mpi-operator,CLS,18.65
MLOps/ AIOps,wisechang1/nnstreamer,FLS,705.68
MLOps/ AIOps,wisechang1/nnstreamer,CLS,1833.07
MLOps/ AIOps,nabeeloz/qlik-py-tools,FLS,4138.12
MLOps/ AIOps,nabeeloz/qlik-py-tools,CLS,3136.04
MLOps/ AIOps,redislabs/redisai,FLS,1523.71
MLOps/ AIOps,redislabs/redisai,CLS,1866.96
MLOps/ AIOps,rscohn2/oneapi-spec,FLS,229.08999999999997
MLOps/ AIOps,rscohn2/oneapi-spec,CLS,1074.3300000000002
MLOps/ AIOps,intel/video-analytics-serving,FLS,5975.94
MLOps/ AIOps,intel/video-analytics-serving,CLS,4879.33
MLOps/ AIOps,allegroai/clearml-agent,FLS,3777.0099999999998
MLOps/ AIOps,allegroai/clearml-agent,CLS,4056.6400000000003
MLOps/ AIOps,petuum/adaptdl-sched,FLS,2583.18
MLOps/ AIOps,petuum/adaptdl-sched,CLS,890.28
MLOps/ AIOps,imjoy/imjoy-app-engine,FLS,1912.1699999999998
MLOps/ AIOps,imjoy/imjoy-app-engine,CLS,651.2700000000001
MLOps/ AIOps,aniketmaurya/chitra,FLS,2434.71
MLOps/ AIOps,aniketmaurya/chitra,CLS,808.9300000000001
MLOps/ AIOps,montyvesselinov/madsjulia,FLS,2132.67
MLOps/ AIOps,montyvesselinov/madsjulia,CLS,576.39
MLOps/ AIOps,nipreps/smriprep,FLS,1760.35
MLOps/ AIOps,nipreps/smriprep,CLS,2775.9799999999996
MLOps/ AIOps,hetao2019/kleveross-model-registr,FLS,155.98
MLOps/ AIOps,hetao2019/kleveross-model-registr,CLS,55.870000000000005
MLOps/ AIOps,ppl521/paddle-operator,FLS,2382.0299999999997
MLOps/ AIOps,ppl521/paddle-operator,CLS,2520.84
MLOps/ AIOps,zazrivec/dcos-jupyterlab-service,FLS,5425.139999999999
MLOps/ AIOps,zazrivec/dcos-jupyterlab-service,CLS,7642.86
MLOps/ AIOps,geekjr/quickai,FLS,90.85
MLOps/ AIOps,geekjr/quickai,CLS,26.709999999999997
MLOps/ AIOps,paperspace/gradient-base,FLS,1986.4699999999998
MLOps/ AIOps,paperspace/gradient-base,CLS,2000.1299999999999
MLOps/ AIOps,indigodatacloud/deepaas,FLS,816.71
MLOps/ AIOps,indigodatacloud/deepaas,CLS,627.68
MLOps/ AIOps,cortexlabs/neuron-scheduler,FLS,870.93
MLOps/ AIOps,cortexlabs/autoscaler,FLS,63.67
MLOps/ AIOps,cortexlabs/grafana,FLS,250.65
MLOps/ AIOps,cortexlabs/istio-pilot,FLS,266.64
MLOps/ AIOps,cortexlabs/nvidia-device-plugin,FLS,2009.93
MLOps/ AIOps,cortexlabs/istio-proxy,FLS,562.3100000000001
MLOps/ AIOps,cortexlabs/controller-manager,FLS,91.51
MLOps/ AIOps,cortexlabs/cluster-autoscaler,FLS,649.86
MLOps/ AIOps,cortexlabs/operator,FLS,189.67000000000002
MLOps/ AIOps,cortexlabs/manager,FLS,954.62
MLOps/ AIOps,cortexlabs/event-exporter,FLS,84.09
MLOps/ AIOps,cortexlabs/activator,FLS,65.07
MLOps/ AIOps,cortexlabs/metrics-server,FLS,62.2
MLOps/ AIOps,cortexlabs/neuron-device-plugin,FLS,870.7
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,665.61
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,807.7
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,337.74
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,815.45
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,672.94
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,251.51999999999998
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,69.99
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,935.97
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,950.53
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,666.3299999999999
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,482.57
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,482.49
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,2043.91
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,59.9
MLOps/ AIOps,rayproject/ray,FLS,3503.6700000000005
MLOps/ AIOps,rayproject/ray-ml,FLS,5569.150000000001
MLOps/ AIOps,rayproject/ray-ml,CLS,3092.43
MLOps/ AIOps,rayproject/ray-ml,CLS,6537.070000000001
MLOps/ AIOps,alluxio/alluxio,FLS,2003.63
MLOps/ AIOps,alluxio/alluxio-fuse,FLS,3885.2700000000004
MLOps/ AIOps,alluxio/alluxio-fuse,CLS,1243.9399999999998
MLOps/ AIOps,alluxio/alluxio-fuse,CLS,3099.03
