Image,Name,Layers
openvino/workbench,docker.io/openvino/workbench,sha256:8989061945c9eb95286baab66b4b6de1fa710bddb3980c5eba948a012edce58f
openvino/workbench,docker.io/openvino/workbench,sha256:e0abe557d5c86155fa545216b29fe3add04783f1ff4174457ba5fc4f0bf4227e
openvino/workbench,docker.io/openvino/workbench,sha256:9c536bdf5a5226bd38f97877bf31b5de0fcc34f553f3b0b34648099ff92a9868
openvino/workbench,docker.io/openvino/workbench,sha256:310956947696de8730bc5e097683e3f402dc498e23392314393a1d92c9ef2130
openvino/workbench,docker.io/openvino/workbench,sha256:4c0be897ffa4b2c14a749dda6cd8779663729da35edf4d79f584c49b53285b76
openvino/workbench,docker.io/openvino/workbench,sha256:9bc2f8d23450ef61f1130948cfb9f0c55ba6214ef2b373ee8addba06d44d50ea
openvino/workbench,docker.io/openvino/workbench,sha256:9c45eda99638c48ca1ea948aee56fb73a8ac95b180f60cee8fdaa9ec75d73811
openvino/workbench,docker.io/openvino/workbench,sha256:5bbed552e9465df6f07c95a9e9091f419d4ea0ede3eeede8af92271ab460365c
openvino/workbench,docker.io/openvino/workbench,sha256:6057e37cd4d37c017629a7d494946fecc01962900f1cc55f6c4d51152970dd0b
openvino/workbench,docker.io/openvino/workbench,sha256:b600b22aaedf2295633d4e1a25a3ddd7bf4fd627e653e4f9f0ae0290c37f22b2
openvino/workbench,docker.io/openvino/workbench,sha256:82ce3b5c465ce93e9e5d88193ee1f334b9c02bd9b75298920db87562bc216abe
openvino/workbench,docker.io/openvino/workbench,sha256:75cb5f4bbd0196f1ea87ba48128600e04ea9ef816596ef75015ad9af0e680e9d
openvino/workbench,docker.io/openvino/workbench,sha256:4e66a339e28490c87a4a4ad18cd45ae90623aade0f792a303f104158b48502cb
openvino/workbench,docker.io/openvino/workbench,sha256:6e63ebc5658486a6a30074972b0b8e2ac7dbfff408b9d20cdfaee3ed945e9424
openvino/workbench,docker.io/openvino/workbench,sha256:53e5273c55e291425fe5df6975b59b703a18244037358483552e25539bca0b5f
openvino/workbench,docker.io/openvino/workbench,sha256:f154cbc05e4acca8b6ed33c60f8e821648dd50546e419c813742054b9524df48
openvino/workbench,docker.io/openvino/workbench,sha256:0ddc6f59c9624453ecb8751254907e015ebb1ac5a4e110e3031e39c4d55b2a2a
openvino/workbench,docker.io/openvino/workbench,sha256:9527eddc9c3bdcafa45937c79f978c1ce75d6bd64307b6a8e787e104e98ab3b2
openvino/workbench,docker.io/openvino/workbench,sha256:1b94982bb98f0d0076eb2e364c5d400f3abcfc0f1b9cf633ef22e79199d82b33
openvino/workbench,docker.io/openvino/workbench,sha256:1b3f8cf2876a2d2251c75a7cfa4170a2222b238976c1108cd1d26241039384c5
openvino/workbench,docker.io/openvino/workbench,sha256:a9f48e021696036020ceb330f4499351d09bcc7a60f6f085acfeb4426796ff0a
openvino/workbench,docker.io/openvino/workbench,sha256:a18b275839b0d37934eefb184da3e9aa9d0673971163848b648c4e60b360afba
openvino/workbench,docker.io/openvino/workbench,sha256:b768c13b9e1e0784a7ea2feac54b531f2544b443fa2857a001ba3da3515ea0ff
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,sha256:284055322776031bac33723839acb0db2d063a525ba4fa1fd268a831c7553b26
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,sha256:a30a153b9d3db50ccec2a881e4f253cdb8d7c28913a55e005d33871e1b363e88
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,sha256:c04d4b074809ad3aab9f9f19dd991b47b9c6873274243bbb6ca44a9af127a8fe
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,sha256:fd6a63025afa9f365937c39a555bfa1d9b27848b4af9fbde303aab813a3853c5
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,sha256:e5e9afbc0f958e3ed5a85e63a9e9a35e89034290a9c220317b975a0a8ee91a16
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,sha256:ce1dee597a4dc4f67f1eb1c01c2f5c77ffaf9bcf0c670f53ba8a2431c34a4273
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,sha256:af3b57c15501a8e97eab0f5ea65e3c69de9b0d811aa66e7e4995535d9df45c67
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,sha256:ef282318e285cb7796492ce80b72427b6a08450d80093036be16988d328f1ffe
openvino/ubuntu18_runtime,docker.io/openvino/ubuntu18_runtime,sha256:4399f821c67245078f092b594859f54b8a6a104e040672192314ad06fe2e4ed2
