Topic,Repos,Tag,TagID,Metrics,composition,total
application,apolloauto/apollo,v1.0.0,0,Dependencies,26.67,28
application,apolloauto/apollo,v1.0.0,0,Permissions,0.0,0
application,apolloauto/apollo,v1.0.0,0,Environment,0.0,0
application,apolloauto/apollo,v1.0.0,0,Build/Execute,47.62,50
application,apolloauto/apollo,v1.0.0,0,Filesystem,25.71,27
application,apolloauto/apollo,v1.5.0,1,Dependencies,26.67,28
application,apolloauto/apollo,v1.5.0,1,Permissions,0.0,0
application,apolloauto/apollo,v1.5.0,1,Environment,0.0,0
application,apolloauto/apollo,v1.5.0,1,Build/Execute,47.62,50
application,apolloauto/apollo,v1.5.0,1,Filesystem,25.71,27
application,apolloauto/apollo,v2.0.0,2,Dependencies,26.67,28
application,apolloauto/apollo,v2.0.0,2,Permissions,0.0,0
application,apolloauto/apollo,v2.0.0,2,Environment,0.0,0
application,apolloauto/apollo,v2.0.0,2,Build/Execute,47.62,50
application,apolloauto/apollo,v2.0.0,2,Filesystem,25.71,27
application,apolloauto/apollo,v2.5.0,3,Dependencies,26.67,28
application,apolloauto/apollo,v2.5.0,3,Permissions,0.0,0
application,apolloauto/apollo,v2.5.0,3,Environment,0.0,0
application,apolloauto/apollo,v2.5.0,3,Build/Execute,47.62,50
application,apolloauto/apollo,v2.5.0,3,Filesystem,25.71,27
application,apolloauto/apollo,v3.0.0,4,Dependencies,26.67,28
application,apolloauto/apollo,v3.0.0,4,Permissions,0.0,0
application,apolloauto/apollo,v3.0.0,4,Environment,0.0,0
application,apolloauto/apollo,v3.0.0,4,Build/Execute,47.62,50
application,apolloauto/apollo,v3.0.0,4,Filesystem,25.71,27
application,apolloauto/apollo,v3.5.0,5,Dependencies,26.67,28
application,apolloauto/apollo,v3.5.0,5,Permissions,0.0,0
application,apolloauto/apollo,v3.5.0,5,Environment,0.0,0
application,apolloauto/apollo,v3.5.0,5,Build/Execute,47.62,50
application,apolloauto/apollo,v3.5.0,5,Filesystem,25.71,27
application,apolloauto/apollo,v5.0.0,6,Dependencies,26.67,28
application,apolloauto/apollo,v5.0.0,6,Permissions,0.0,0
application,apolloauto/apollo,v5.0.0,6,Environment,0.0,0
application,apolloauto/apollo,v5.0.0,6,Build/Execute,47.62,50
application,apolloauto/apollo,v5.0.0,6,Filesystem,25.71,27
application,apolloauto/apollo,v5.5.0,7,Dependencies,26.67,28
application,apolloauto/apollo,v5.5.0,7,Permissions,0.0,0
application,apolloauto/apollo,v5.5.0,7,Environment,0.0,0
application,apolloauto/apollo,v5.5.0,7,Build/Execute,47.62,50
application,apolloauto/apollo,v5.5.0,7,Filesystem,25.71,27
application,apolloauto/apollo,v6.0.0,8,Dependencies,26.67,28
application,apolloauto/apollo,v6.0.0,8,Permissions,0.0,0
application,apolloauto/apollo,v6.0.0,8,Environment,0.0,0
application,apolloauto/apollo,v6.0.0,8,Build/Execute,47.62,50
application,apolloauto/apollo,v6.0.0,8,Filesystem,25.71,27
application,ageitgey/face_recognition,v0.1.12,0,Dependencies,39.29,44
