Topic,Repos,Tag,TagID,Metrics,composition,total
mlops,kubeflow/kubeflow,v0.1.0-rc.0,0,Dependencies,35.09,100
mlops,kubeflow/kubeflow,v0.1.0-rc.0,0,Permissions,11.93,34
mlops,kubeflow/kubeflow,v0.1.0-rc.0,0,Environment,1.75,5
mlops,kubeflow/kubeflow,v0.1.0-rc.0,0,Build/Execute,23.16,66
mlops,kubeflow/kubeflow,v0.1.0-rc.0,0,Filesystem,28.07,80
mlops,kubeflow/kubeflow,v0.1.0-rc.1,1,Dependencies,35.09,100
mlops,kubeflow/kubeflow,v0.1.0-rc.1,1,Permissions,11.93,34
mlops,kubeflow/kubeflow,v0.1.0-rc.1,1,Environment,1.75,5
mlops,kubeflow/kubeflow,v0.1.0-rc.1,1,Build/Execute,23.16,66
mlops,kubeflow/kubeflow,v0.1.0-rc.1,1,Filesystem,28.07,80
mlops,kubeflow/kubeflow,v0.1.0-rc.2,2,Dependencies,35.09,100
mlops,kubeflow/kubeflow,v0.1.0-rc.2,2,Permissions,11.93,34
mlops,kubeflow/kubeflow,v0.1.0-rc.2,2,Environment,1.75,5
mlops,kubeflow/kubeflow,v0.1.0-rc.2,2,Build/Execute,23.16,66
mlops,kubeflow/kubeflow,v0.1.0-rc.2,2,Filesystem,28.07,80
mlops,kubeflow/kubeflow,v0.1.0-rc.3,3,Dependencies,35.09,100
mlops,kubeflow/kubeflow,v0.1.0-rc.3,3,Permissions,11.93,34
mlops,kubeflow/kubeflow,v0.1.0-rc.3,3,Environment,1.75,5
mlops,kubeflow/kubeflow,v0.1.0-rc.3,3,Build/Execute,23.16,66
mlops,kubeflow/kubeflow,v0.1.0-rc.3,3,Filesystem,28.07,80
mlops,kubeflow/kubeflow,v0.1.0,4,Dependencies,35.09,100
mlops,kubeflow/kubeflow,v0.1.0,4,Permissions,11.93,34
mlops,kubeflow/kubeflow,v0.1.0,4,Environment,1.75,5
mlops,kubeflow/kubeflow,v0.1.0,4,Build/Execute,23.16,66
mlops,kubeflow/kubeflow,v0.1.0,4,Filesystem,28.07,80
mlops,kubeflow/kubeflow,v0.1.0-rc.4,5,Dependencies,35.09,100
mlops,kubeflow/kubeflow,v0.1.0-rc.4,5,Permissions,11.93,34
mlops,kubeflow/kubeflow,v0.1.0-rc.4,5,Environment,1.75,5
mlops,kubeflow/kubeflow,v0.1.0-rc.4,5,Build/Execute,23.16,66
mlops,kubeflow/kubeflow,v0.1.0-rc.4,5,Filesystem,28.07,80
mlops,kubeflow/kubeflow,v0.1.1,6,Dependencies,35.09,100
mlops,kubeflow/kubeflow,v0.1.1,6,Permissions,11.93,34
mlops,kubeflow/kubeflow,v0.1.1,6,Environment,1.75,5
mlops,kubeflow/kubeflow,v0.1.1,6,Build/Execute,23.16,66
mlops,kubeflow/kubeflow,v0.1.1,6,Filesystem,28.07,80
mlops,kubeflow/kubeflow,v0.1.2,7,Dependencies,35.09,100
mlops,kubeflow/kubeflow,v0.1.2,7,Permissions,11.93,34
mlops,kubeflow/kubeflow,v0.1.2,7,Environment,1.75,5
mlops,kubeflow/kubeflow,v0.1.2,7,Build/Execute,23.16,66
mlops,kubeflow/kubeflow,v0.1.2,7,Filesystem,28.07,80
mlops,kubeflow/kubeflow,v0.1.3,8,Dependencies,35.09,100
mlops,kubeflow/kubeflow,v0.1.3,8,Permissions,11.93,34
mlops,kubeflow/kubeflow,v0.1.3,8,Environment,1.75,5
mlops,kubeflow/kubeflow,v0.1.3,8,Build/Execute,23.16,66
mlops,kubeflow/kubeflow,v0.1.3,8,Filesystem,28.07,80
mlops,kubeflow/kubeflow,v0.2.0-rc.0,9,Dependencies,35.09,100
mlops,kubeflow/kubeflow,v0.2.0-rc.0,9,Permissions,11.93,34
mlops,kubeflow/kubeflow,v0.2.0-rc.0,9,Environment,1.75,5
mlops,kubeflow/kubeflow,v0.2.0-rc.0,9,Build/Execute,23.16,66
mlops,kubeflow/kubeflow,v0.2.0-rc.0,9,Filesystem,28.07,80
mlops,kubeflow/kubeflow,v0.2.0-rc.1,10,Dependencies,35.09,100
mlops,kubeflow/kubeflow,v0.2.0-rc.1,10,Permissions,11.93,34
mlops,kubeflow/kubeflow,v0.2.0-rc.1,10,Environment,1.75,5
mlops,kubeflow/kubeflow,v0.2.0-rc.1,10,Build/Execute,23.16,66
mlops,kubeflow/kubeflow,v0.2.0-rc.1,10,Filesystem,28.07,80
