Topic,Repos,ProjectID,Tag,Metrics,Values
Application,wkentaro/labelme,P0,0.8.0rc0,Memory,4901100965
Application,wkentaro/labelme,P0,0.8.1,Layers count,21
Application,wkentaro/labelme,P0,0.8.1,Memory,5178182134
Application,wkentaro/labelme,P0,unstable,Layers count,21
Application,wkentaro/labelme,P0,unstable,Memory,5191706081
Application,wkentaro/labelme,P0,0.4.4,Layers count,10
Application,wkentaro/labelme,P0,0.4.4,Memory,281925340
Application,wkentaro/labelme,P0,0.7.5,Layers count,11
Application,wkentaro/labelme,P0,0.7.5,Memory,277300657
Application,wkentaro/labelme,P0,1.0.0,Layers count,15
Application,wkentaro/labelme,P0,1.0.0,Memory,432675497
Application,wkentaro/labelme,P0,1.1.1,Layers count,11
Application,wkentaro/labelme,P0,1.1.1,Memory,445428233
Application,wkentaro/labelme,P0,0.12.0,Layers count,4
Application,wkentaro/labelme,P0,0.12.0,Memory,44725647
Application,wkentaro/labelme,P0,3810fc514efe494d61a6c3ef4aa3eef9df2b0af9,Layers count,7
Application,wkentaro/labelme,P0,3810fc514efe494d61a6c3ef4aa3eef9df2b0af9,Memory,50160148
Application,wkentaro/labelme,P0,7975cc5a2fbe5285d03c83ac6793898fd048b13b,Layers count,5
Application,wkentaro/labelme,P0,7975cc5a2fbe5285d03c83ac6793898fd048b13b,Memory,32557461
Application,wkentaro/labelme,P0,bd569b68a9ed5f41f97884abccc539725a10f2ff,Layers count,5
Application,wkentaro/labelme,P0,bd569b68a9ed5f41f97884abccc539725a10f2ff,Memory,32180518
Application,wkentaro/labelme,P0,latest,Layers count,7
Application,wkentaro/labelme,P0,latest,Memory,36767683
Application,wkentaro/labelme,P0,0.12.0,Layers count,4
Application,wkentaro/labelme,P0,0.12.0,Memory,76726163
Application,wkentaro/labelme,P0,38136c69724e86d7731f774c2f67ea407dd212e3,Layers count,4
Application,wkentaro/labelme,P0,38136c69724e86d7731f774c2f67ea407dd212e3,Memory,78153747
Application,wkentaro/labelme,P0,7975cc5a2fbe5285d03c83ac6793898fd048b13b,Layers count,6
Application,wkentaro/labelme,P0,7975cc5a2fbe5285d03c83ac6793898fd048b13b,Memory,70461466
Application,wkentaro/labelme,P0,bd569b68a9ed5f41f97884abccc539725a10f2ff,Layers count,6
Application,wkentaro/labelme,P0,bd569b68a9ed5f41f97884abccc539725a10f2ff,Memory,55361548
Application,wkentaro/labelme,P0,latest,Layers count,8
Application,wkentaro/labelme,P0,latest,Memory,87959652
Application,wkentaro/labelme,P0,1.1.1-SNAPSHOT_20200416102539,Layers count,10
Application,wkentaro/labelme,P0,1.1.1-SNAPSHOT_20200416102539,Memory,307909004
Application,wkentaro/labelme,P0,1.2.3-dev_20200817141105,Layers count,11
Application,wkentaro/labelme,P0,1.2.3-dev_20200817141105,Memory,304680271
Application,wkentaro/labelme,P0,1.3.0-dev_20200811141454,Layers count,11
Application,wkentaro/labelme,P0,1.3.0-dev_20200811141454,Memory,304623096
Application,wkentaro/labelme,P0,latest,Layers count,16
Application,wkentaro/labelme,P0,latest,Memory,393103068
Application,wkentaro/labelme,P0,latest,Layers count,8
Application,wkentaro/labelme,P0,latest,Memory,421057856
Application,wkentaro/labelme,P0,latest,Layers count,11
Application,wkentaro/labelme,P0,latest,Memory,2232932546
Application,wkentaro/labelme,P0,v2.0.1,Layers count,35
Application,wkentaro/labelme,P0,v2.0.1,Memory,1665419413
Application,wkentaro/labelme,P0,v3.2,Layers count,36
Application,wkentaro/labelme,P0,v3.2,Memory,1818346555
Application,wkentaro/labelme,P0,v4.1.4,Layers count,10
Application,wkentaro/labelme,P0,v4.1.4,Memory,1901589280
Application,wkentaro/labelme,P0,v4.9.5,Layers count,11
Application,wkentaro/labelme,P0,v4.9.5,Memory,2232932546
Application,wkentaro/labelme,P0,latest,Layers count,32
Application,wkentaro/labelme,P0,latest,Memory,2954534029
Application,wkentaro/labelme,P0,21.0.0rc0,Layers count,24
Application,wkentaro/labelme,P0,21.0.0rc0,Memory,7181663475
Application,wkentaro/labelme,P0,21.0.0rc1,Layers count,24
Application,wkentaro/labelme,P0,21.0.0rc1,Memory,7195959477
Application,wkentaro/labelme,P0,21.0.0rc2,Layers count,24
Application,wkentaro/labelme,P0,21.0.0rc2,Memory,7226024178
Application,wkentaro/labelme,P0,latest,Layers count,24
Application,wkentaro/labelme,P0,latest,Memory,7226024178
Application,wkentaro/labelme,P0,cpu,Layers count,13
Application,wkentaro/labelme,P0,cpu,Memory,1686489932
Application,wkentaro/labelme,P0,cpu-0.5.0,Layers count,14
Application,wkentaro/labelme,P0,cpu-0.5.0,Memory,1820128631
Application,wkentaro/labelme,P0,cuda10-0.4.1,Layers count,18
Application,wkentaro/labelme,P0,cuda10-0.4.1,Memory,3561325783
Application,wkentaro/labelme,P0,armhf-py37-v1.18.0,Layers count,11
Application,wkentaro/labelme,P0,armhf-py37-v1.18.0,Memory,329018008
