repos,repo_version,filename,instructions,instructions_count
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.auditwheel_x86_64,COPY,1
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.auditwheel_x86_64,RUN,1
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.auditwheel_x86_64,ENV,1
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.auditwheel_x86_64,ENTRYPOINT,1
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.auditwheel_x86_64,WORKDIR,1
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.auditwheel_x86_64,FROM,1
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.clang_tidy,COPY,1
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.clang_tidy,RUN,4
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.clang_tidy,ENV,2
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.clang_tidy,ENTRYPOINT,1
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.clang_tidy,ARG,2
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.clang_tidy,WORKDIR,1
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.clang_tidy,FROM,1
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.aarch64,COPY,2
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.aarch64,SHELL,1
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.aarch64,RUN,3
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.aarch64,ENV,5
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.aarch64,ENTRYPOINT,1
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.aarch64,WORKDIR,1
dmlc/xgboost,latest,/tests/ci_build/Dockerfile.aarch64,FROM,1
dmlc/xgboost,latest,/jvm-packages/dev/Dockerfile,RUN,2
dmlc/xgboost,latest,/jvm-packages/dev/Dockerfile,ENV,5
dmlc/xgboost,latest,/jvm-packages/dev/Dockerfile,WORKDIR,1
dmlc/xgboost,latest,/jvm-packages/dev/Dockerfile,FROM,1
ultralytics/yolov5,latest,/Dockerfile,COPY,2
ultralytics/yolov5,latest,/Dockerfile,RUN,6
ultralytics/yolov5,latest,/Dockerfile,ADD,1
ultralytics/yolov5,latest,/Dockerfile,WORKDIR,1
ultralytics/yolov5,latest,/Dockerfile,FROM,1
ultralytics/yolov5,latest,/utils/google_app_engine/Dockerfile,CMD,1
ultralytics/yolov5,latest,/utils/google_app_engine/Dockerfile,RUN,3
ultralytics/yolov5,latest,/utils/google_app_engine/Dockerfile,ENV,2
ultralytics/yolov5,latest,/utils/google_app_engine/Dockerfile,ADD,2
ultralytics/yolov5,latest,/utils/google_app_engine/Dockerfile,FROM,1
open-mmlab/mmdetection,latest,/docker/Dockerfile,RUN,6
open-mmlab/mmdetection,latest,/docker/Dockerfile,ENV,4
open-mmlab/mmdetection,latest,/docker/Dockerfile,ARG,3
open-mmlab/mmdetection,latest,/docker/Dockerfile,WORKDIR,1
open-mmlab/mmdetection,latest,/docker/Dockerfile,FROM,1
open-mmlab/mmdetection,latest,/docker/serve/Dockerfile,CMD,1
open-mmlab/mmdetection,latest,/docker/serve/Dockerfile,COPY,2
open-mmlab/mmdetection,latest,/docker/serve/Dockerfile,USER,1
open-mmlab/mmdetection,latest,/docker/serve/Dockerfile,EXPOSE,1
open-mmlab/mmdetection,latest,/docker/serve/Dockerfile,RUN,8
open-mmlab/mmdetection,latest,/docker/serve/Dockerfile,ENV,3
open-mmlab/mmdetection,latest,/docker/serve/Dockerfile,ENTRYPOINT,1
open-mmlab/mmdetection,latest,/docker/serve/Dockerfile,ARG,7
open-mmlab/mmdetection,latest,/docker/serve/Dockerfile,WORKDIR,1
open-mmlab/mmdetection,latest,/docker/serve/Dockerfile,FROM,1
cmusatyalab/openface,latest,/Dockerfile,CMD,1
cmusatyalab/openface,latest,/Dockerfile,MAINTAINER,1
cmusatyalab/openface,latest,/Dockerfile,EXPOSE,1
cmusatyalab/openface,latest,/Dockerfile,RUN,4
cmusatyalab/openface,latest,/Dockerfile,ADD,1
cmusatyalab/openface,latest,/Dockerfile,FROM,1
