repos,repo_version,filename,instructions,instructions_count
kubeflow/kubeflow,latest,/components/notebook-controller/Dockerfile,FROM,2
kubeflow/kubeflow,latest,/components/centraldashboard/Dockerfile,COPY,2
kubeflow/kubeflow,latest,/components/centraldashboard/Dockerfile,EXPOSE,1
kubeflow/kubeflow,latest,/components/centraldashboard/Dockerfile,RUN,4
kubeflow/kubeflow,latest,/components/centraldashboard/Dockerfile,ENV,5
kubeflow/kubeflow,latest,/components/centraldashboard/Dockerfile,ENTRYPOINT,1
kubeflow/kubeflow,latest,/components/centraldashboard/Dockerfile,ARG,2
kubeflow/kubeflow,latest,/components/centraldashboard/Dockerfile,WORKDIR,2
kubeflow/kubeflow,latest,/components/centraldashboard/Dockerfile,FROM,2
kubeflow/kubeflow,latest,/components/tensorboard-controller/Dockerfile,COPY,3
kubeflow/kubeflow,latest,/components/tensorboard-controller/Dockerfile,USER,1
kubeflow/kubeflow,latest,/components/tensorboard-controller/Dockerfile,RUN,2
kubeflow/kubeflow,latest,/components/tensorboard-controller/Dockerfile,ENTRYPOINT,1
kubeflow/kubeflow,latest,/components/tensorboard-controller/Dockerfile,WORKDIR,3
kubeflow/kubeflow,latest,/components/tensorboard-controller/Dockerfile,FROM,2
kubeflow/kubeflow,latest,/components/access-management/Dockerfile,CMD,1
kubeflow/kubeflow,latest,/components/access-management/Dockerfile,COPY,4
kubeflow/kubeflow,latest,/components/access-management/Dockerfile,EXPOSE,1
kubeflow/kubeflow,latest,/components/access-management/Dockerfile,RUN,3
kubeflow/kubeflow,latest,/components/access-management/Dockerfile,ARG,1
kubeflow/kubeflow,latest,/components/access-management/Dockerfile,WORKDIR,2
kubeflow/kubeflow,latest,/components/access-management/Dockerfile,FROM,2
JaidedAI/EasyOCR,latest,/Dockerfile,ARG,2
JaidedAI/EasyOCR,latest,/Dockerfile,RUN,3
JaidedAI/EasyOCR,latest,/Dockerfile,FROM,1
tensorflow/tfjs,latest,/dockers/wasm-docker/Dockerfile,RUN,3
tensorflow/tfjs,latest,/dockers/wasm-docker/Dockerfile,FROM,1
tensorflow/tfjs,latest,/dockers/release-docker/Dockerfile,RUN,4
tensorflow/tfjs,latest,/dockers/release-docker/Dockerfile,ENV,3
tensorflow/tfjs,latest,/dockers/release-docker/Dockerfile,VOLUME,1
tensorflow/tfjs,latest,/dockers/release-docker/Dockerfile,ARG,1
tensorflow/tfjs,latest,/dockers/release-docker/Dockerfile,FROM,1
pymc-devs/pymc,latest,/scripts/Dockerfile,MAINTAINER,1
pymc-devs/pymc,latest,/scripts/Dockerfile,RUN,3
pymc-devs/pymc,latest,/scripts/Dockerfile,ENV,3
pymc-devs/pymc,latest,/scripts/Dockerfile,ADD,1
pymc-devs/pymc,latest,/scripts/Dockerfile,ARG,1
pymc-devs/pymc,latest,/scripts/Dockerfile,FROM,1
NVIDIA/DIGITS,latest,/packaging/deb/Dockerfile,COPY,1
NVIDIA/DIGITS,latest,/packaging/deb/Dockerfile,RUN,6
NVIDIA/DIGITS,latest,/packaging/deb/Dockerfile,ENV,2
NVIDIA/DIGITS,latest,/packaging/deb/Dockerfile,ARG,2
NVIDIA/DIGITS,latest,/packaging/deb/Dockerfile,WORKDIR,2
NVIDIA/DIGITS,latest,/packaging/deb/Dockerfile,FROM,1
yandexdataschool/Practical_RL,latest,/docker/Dockerfile,CMD,1
yandexdataschool/Practical_RL,latest,/docker/Dockerfile,SHELL,2
yandexdataschool/Practical_RL,latest,/docker/Dockerfile,USER,2
yandexdataschool/Practical_RL,latest,/docker/Dockerfile,COPY,1
yandexdataschool/Practical_RL,latest,/docker/Dockerfile,EXPOSE,1
yandexdataschool/Practical_RL,latest,/docker/Dockerfile,RUN,8
yandexdataschool/Practical_RL,latest,/docker/Dockerfile,ENV,2
yandexdataschool/Practical_RL,latest,/docker/Dockerfile,LABEL,1
yandexdataschool/Practical_RL,latest,/docker/Dockerfile,VOLUME,1
yandexdataschool/Practical_RL,latest,/docker/Dockerfile,ADD,1
yandexdataschool/Practical_RL,latest,/docker/Dockerfile,ARG,4
yandexdataschool/Practical_RL,latest,/docker/Dockerfile,WORKDIR,1
yandexdataschool/Practical_RL,latest,/docker/Dockerfile,FROM,6
openMVG/openMVG,latest,/Dockerfile,ADD,1
openMVG/openMVG,latest,/Dockerfile,RUN,4
openMVG/openMVG,latest,/Dockerfile,ENV,1
