repos,topic,total_dockerfiles,matching_image,all_images,dockerfiles,notags,base_images,purpose,docker_compose,compose_versions,compose_services,compose_networks,compose_volume,compose_env,other_dockerfiles,What,When,MLcomponent,Why,Maincomponent,Note
hanxiao/bert-as-service,mlops,1,{},"{'deliah/bert-as-service': ['base', 'latest']}",{'/docker/Dockerfile'},1,{'/docker/Dockerfile': ['tensorflow/tensorflow:1.12.0-gpu-py3']},"{'/docker/Dockerfile': {'Dependencies': 2, 'Build/Execute': 1, 'Filesystem': 1}}",0,{},{},{},{},{},0,,,,,,
kubeflow/kubeflow,mlops,26,{},{'kubeflow/kubeflow-triage': ['latest']},"{'/components/example-notebook-servers/jupyter-pytorch/cuda.Dockerfile', '/components/example-notebook-servers/jupyter-tensorflow/cpu.Dockerfile', '/components/centraldashboard/Dockerfile', '/components/example-notebook-servers/jupyter-scipy/Dockerfile', '/components/example-notebook-servers/codeserver/Dockerfile', '/components/example-notebook-servers/jupyter/Dockerfile', '/testing/Dockerfile', '/components/example-notebook-servers/jupyter-tensorflow-full/cpu.Dockerfile', '/components/crud-web-apps/volumes/Dockerfile', '/components/access-management/Dockerfile', '/components/example-notebook-servers/jupyter-pytorch-full/cpu.Dockerfile', '/components/crud-web-apps/tensorboards/Dockerfile', '/components/notebook-controller/Dockerfile', '/components/example-notebook-servers/jupyter-tensorflow-full/cuda.Dockerfile', '/components/example-notebook-servers/base/Dockerfile', '/components/example-notebook-servers/jupyter-tensorflow/cuda.Dockerfile', '/components/example-notebook-servers/codeserver-python/Dockerfile', '/components/crud-web-apps/jupyter/Dockerfile', '/components/crud-web-apps/tensorboards/Dockerfile.dockerignore', '/components/example-notebook-servers/rstudio/Dockerfile', '/components/example-notebook-servers/jupyter-pytorch/cpu.Dockerfile', '/components/admission-webhook/Dockerfile', '/components/example-notebook-servers/rstudio-tidyverse/Dockerfile', '/components/profile-controller/Dockerfile', '/components/example-notebook-servers/jupyter-pytorch-full/cuda.Dockerfile', '/components/tensorboard-controller/Dockerfile'}",1,"{'/testing/Dockerfile': ['gcr.io/kubeflow-ci/test-worker:latest'], '/components/crud-web-apps/volumes/Dockerfile': ['python:3.8 AS backend-kubeflow-wheel', 'node:12 as frontend-kubeflow-lib', 'node:12-buster-slim as frontend', 'python:3.7-slim-buster'], '/components/crud-web-apps/jupyter/Dockerfile': ['python:3.7-slim-buster AS backend-kubeflow-wheel', 'node:12-buster-slim as frontend-kubeflow-lib', 'node:12-buster-slim as frontend', 'python:3.7-slim-buster'], '/components/crud-web-apps/tensorboards/Dockerfile': ['python:3.8-slim-buster AS backend-kubeflow-wheel', 'node:12-buster-slim as frontend-kubeflow-lib', 'node:12-buster-slim as frontend', 'python:3.8-slim-buster'], '/components/admission-webhook/Dockerfile': ['golang:${GOLANG_VERSION} as builder', 'gcr.io/distroless/static-debian10:fd0d99e8c54d7d7b2f3dd29f5093d030d192cbbc'], '/components/profile-controller/Dockerfile': ['golang:${GOLANG_VERSION} as builder', 'gcr.io/distroless/base:latest as serve'], '/components/example-notebook-servers/jupyter-pytorch-full/cpu.Dockerfile': ['public.ecr.aws/j1r0q0g6/notebooks/notebook-servers/jupyter-pytorch:master-c7ed4a32'], '/components/example-notebook-servers/jupyter-pytorch-full/cuda.Dockerfile': ['public.ecr.aws/j1r0q0g6/notebooks/notebook-servers/jupyter-pytorch-cuda:master-c7ed4a32'], '/components/example-notebook-servers/rstudio/Dockerfile': ['public.ecr.aws/j1r0q0g6/notebooks/notebook-servers/base:master-6c41e72b'], '/components/example-notebook-servers/codeserver/Dockerfile': ['public.ecr.aws/j1r0q0g6/notebooks/notebook-servers/base:master-6c41e72b'], '/components/example-notebook-servers/jupyter-tensorflow/cpu.Dockerfile': ['public.ecr.aws/j1r0q0g6/notebooks/notebook-servers/jupyter:master-434b10ab'], '/components/example-notebook-servers/jupyter-tensorflow/cuda.Dockerfile': ['public.ecr.aws/j1r0q0g6/notebooks/notebook-servers/jupyter:master-434b10ab'], '/components/example-notebook-servers/codeserver-python/Dockerfile': ['public.ecr.aws/j1r0q0g6/notebooks/notebook-servers/codeserver:master-434b10ab'], '/components/example-notebook-servers/rstudio-tidyverse/Dockerfile': ['public.ecr.aws/j1r0q0g6/notebooks/notebook-servers/rstudio:master-434b10ab'], '/components/example-notebook-servers/jupyter/Dockerfile': ['public.ecr.aws/j1r0q0g6/notebooks/notebook-servers/base:master-6c41e72b'], '/components/example-notebook-servers/jupyter-pytorch/cpu.Dockerfile': ['public.ecr.aws/j1r0q0g6/notebooks/notebook-servers/jupyter:master-434b10ab'], '/components/example-notebook-servers/jupyter-pytorch/cuda.Dockerfile': ['public.ecr.aws/j1r0q0g6/notebooks/notebook-servers/jupyter:master-434b10ab'], '/components/example-notebook-servers/base/Dockerfile': ['ubuntu:20.04'], '/components/example-notebook-servers/jupyter-tensorflow-full/cpu.Dockerfile': ['public.ecr.aws/j1r0q0g6/notebooks/notebook-servers/jupyter-tensorflow:master-e9324d39'], '/components/example-notebook-servers/jupyter-tensorflow-full/cuda.Dockerfile': ['public.ecr.aws/j1r0q0g6/notebooks/notebook-servers/jupyter-tensorflow-cuda:master-e9324d39'], '/components/example-notebook-servers/jupyter-scipy/Dockerfile': ['public.ecr.aws/j1r0q0g6/notebooks/notebook-servers/jupyter:master-434b10ab'], '/components/notebook-controller/Dockerfile': ['golang:${GOLANG_VERSION} as builder', 'gcr.io/distroless/base:debug'], '/components/centraldashboard/Dockerfile': ['node:12.22.8-alpine AS build', 'node:12.22.8-alpine AS serve'], '/components/tensorboard-controller/Dockerfile': ['golang:1.17 as builder', 'gcr.io/distroless/static:nonroot'], '/components/access-management/Dockerfile': ['golang:${GOLANG_VERSION} as builder', 'gcr.io/distroless/base:latest as serve']}","{'/testing/Dockerfile': {'Permissions': 1}, '/components/crud-web-apps/volumes/Dockerfile': {'Dependencies': 7, 'Build/Execute': 4}, '/components/crud-web-apps/jupyter/Dockerfile': {'Dependencies': 7, 'Build/Execute': 3}, '/components/crud-web-apps/tensorboards/Dockerfile.dockerignore': {}, '/components/crud-web-apps/tensorboards/Dockerfile': {'Dependencies': 7, 'Build/Execute': 6}, '/components/admission-webhook/Dockerfile': {'Build/Execute': 2}, '/components/profile-controller/Dockerfile': {'Build/Execute': 3, 'Filesystem': 1}, '/components/example-notebook-servers/jupyter-pytorch-full/cpu.Dockerfile': {'Build/Execute': 2, 'Dependencies': 1, 'Filesystem': 1}, '/components/example-notebook-servers/jupyter-pytorch-full/cuda.Dockerfile': {'Build/Execute': 2, 'Dependencies': 1, 'Filesystem': 1}, '/components/example-notebook-servers/rstudio/Dockerfile': {'Filesystem': 21, 'Dependencies': 12, 'Permissions': 10, 'Build/Execute': 3}, '/components/example-notebook-servers/codeserver/Dockerfile': {'Filesystem': 3, 'Dependencies': 2, 'Permissions': 1}, '/components/example-notebook-servers/jupyter-tensorflow/cpu.Dockerfile': {'Build/Execute': 2, 'Dependencies': 1, 'Filesystem': 1}, '/components/example-notebook-servers/jupyter-tensorflow/cuda.Dockerfile': {'Dependencies': 11, 'Filesystem': 11, 'Build/Execute': 4}, '/components/example-notebook-servers/codeserver-python/Dockerfile': {'Filesystem': 9, 'Dependencies': 8, 'Permissions': 6, 'Build/Execute': 4}, '/components/example-notebook-servers/rstudio-tidyverse/Dockerfile': {'Dependencies': 3, 'Permissions': 2, 'Build/Execute': 1}, '/components/example-notebook-servers/jupyter/Dockerfile': {'Filesystem': 16, 'Dependencies': 13, 'Permissions': 7, 'Build/Execute': 5, 'Environment': 1}, '/components/example-notebook-servers/jupyter-pytorch/cpu.Dockerfile': {'Build/Execute': 2, 'Dependencies': 1, 'Filesystem': 1}, '/components/example-notebook-servers/jupyter-pytorch/cuda.Dockerfile': {'Build/Execute': 2, 'Dependencies': 1, 'Filesystem': 1}, '/components/example-notebook-servers/base/Dockerfile': {'Dependencies': 10, 'Filesystem': 7, 'Permissions': 6, 'Build/Execute': 4, 'Environment': 2}, '/components/example-notebook-servers/jupyter-tensorflow-full/cpu.Dockerfile': {'Build/Execute': 2, 'Dependencies': 1, 'Filesystem': 1}, '/components/example-notebook-servers/jupyter-tensorflow-full/cuda.Dockerfile': {'Build/Execute': 2, 'Dependencies': 1, 'Filesystem': 1}, '/components/example-notebook-servers/jupyter-scipy/Dockerfile': {'Build/Execute': 2, 'Dependencies': 1, 'Filesystem': 1}, '/components/notebook-controller/Dockerfile': {'Build/Execute': 3, 'Filesystem': 1}, '/components/centraldashboard/Dockerfile': {'Dependencies': 12, 'Filesystem': 2, 'Build/Execute': 2, 'Environment': 2}, '/components/tensorboard-controller/Dockerfile': {'Build/Execute': 3, 'Filesystem': 1}, '/components/access-management/Dockerfile': {'Build/Execute': 3, 'Permissions': 1}}",0,{},{},{},{},{},1,"build and tests, configures environment for testing, package/ serving, CI/CD, notebook-controller/jupiter, crud-web-apps, UI/ centraldashboard, codeserver, examples/ documentation",Development/ distribution,Code,"automation, consistency","cpu, gpu, language",
JaidedAI/EasyOCR,tool,1,{},{'challisa/easyocr': ['latest']},{'/Dockerfile'},1,{'/Dockerfile': ['pytorch/pytorch']},"{'/Dockerfile': {'Dependencies': 9, 'Filesystem': 4, 'Build/Execute': 4}}",0,{},{},{},{},{},0,"build and packaging, ",Development/ distribution,,,,
tensorflow/tfjs,mlops,2,{},"{'land007/tfjs-node': ['20190729', 'latest']}","{'/dockers/wasm-docker/Dockerfile', '/dockers/release-docker/Dockerfile'}",1,"{'/dockers/wasm-docker/Dockerfile': ['emscripten/emsdk:2.0.14'], '/dockers/release-docker/Dockerfile': ['debian:10-slim']}","{'/dockers/wasm-docker/Dockerfile': {'Build/Execute': 5, 'Dependencies': 4}, '/dockers/release-docker/Dockerfile': {'Dependencies': 14, 'Build/Execute': 7, 'Environment': 5, 'Filesystem': 4}}",0,{},{},{},{},{},0,builld and deploy,Production,,,"debian, virtualenv, absl-py",
pymc-devs/pymc,Machine Learning,1,{},"{'pymc/pymc3': ['latest', 'version-3.10.0', 'version-3.11.0', 'version-3.11.1', 'version-3.11.2', 'version-3.9.0', 'version-3.9.1', 'version-3.9.2', 'version-3.9.3']}",{'/scripts/Dockerfile'},1,{'/scripts/Dockerfile': ['jupyter/minimal-notebook']},"{'/scripts/Dockerfile': {'Build/Execute': 3, 'Dependencies': 1}}",0,{},{},{},{},{},0,"build, jupyter",Development/ distribution,,,,
NVIDIA/DIGITS,DL framwork,1,{},"{'nvidia/digits': ['3.0', '3.3', '4.0', '5.0', '6.0', 'latest']}",{'/packaging/deb/Dockerfile'},1,{'/packaging/deb/Dockerfile': ['ubuntu:14.04']},"{'/packaging/deb/Dockerfile': {'Filesystem': 7, 'Dependencies': 3, 'Build/Execute': 1}}",0,{},{},{},{},{},0,"build, packaging, ",Development/ distribution,,,"os, gpu, DL frameworks",
yandexdataschool/Practical_RL,tutorials/ documentation,1,{},"{'justheuristic/practical_rl': ['coursera', 'latest', 'spring19']}",{'/docker/Dockerfile'},1,"{'/docker/Dockerfile': ['ubuntu:18.04 AS base-cpu', 'nvidia/cuda:10.2-base-ubuntu18.04 AS base-gpu', 'base-$device AS base', 'base AS stage-cpu', 'base AS stage-gpu', 'stage-$device as final']}","{'/docker/Dockerfile': {'Filesystem': 9, 'Dependencies': 7, 'Build/Execute': 6, 'Permissions': 4}}",0,{},{},{},{},{},0,,,,,,
openMVG/openMVG,application,1,{},{},{'/Dockerfile'},0,{'/Dockerfile': ['ubuntu:bionic']},"{'/Dockerfile': {'Dependencies': 6, 'Build/Execute': 6, 'Filesystem': 4}}",0,{},{},{},{},{},0,,,,,,
tiny-dnn/tiny-dnn,DL framwork,2,"{'dev-env': ['/docker/dev-env/Dockerfile.full', '/docker/dev-env/Dockerfile']}","{'tinydnn/tinydnn': ['dev-env', 'dev-ubuntu17.04', 'latest']}","{'/docker/dev-env/Dockerfile', '/docker/dev-env/Dockerfile.full'}",1,"{'/docker/dev-env/Dockerfile.full': ['ubuntu:17.04'], '/docker/dev-env/Dockerfile': ['ubuntu:17.04']}","{'/docker/dev-env/Dockerfile.full': {'Dependencies': 17, 'Build/Execute': 16, 'Filesystem': 4}, '/docker/dev-env/Dockerfile': {'Dependencies': 8, 'Build/Execute': 6}}",0,{},{},{},{},{},0,,,,,,
MycroftAI/mycroft-core,application,1,{},"{'mycroftai/docker-mycroft': ['dev', 'latest', 'repo_testing', 'unstable']}",{'/test/Dockerfile'},1,"{'/test/Dockerfile': ['ubuntu:18.04 as core_builder', 'core_builder as voight_kampff_builder']}","{'/test/Dockerfile': {'Dependencies': 12, 'Build/Execute': 11, 'Filesystem': 6}}",0,{},{},{},{},{},0,Running tests (integration tests suit),Testing,Workflow,,"virtual environment, Integration Test Suite, ",Ubuntu-based container to run Mycrof test runner
