repos,topic,total_dockerfiles,matching_image,all_images,dockerfiles,notags,base_images,purpose,docker_compose,compose_versions,compose_services,compose_networks,compose_volume,compose_env,other_dockerfiles,What,When,MLcomponent,Why,Maincomponent,Note
rlgraph/rlgraph,DL framwork,4,"{'full': ['/docker/full_from_tf/Dockerfile', '/docker/full/Dockerfile']}","{'rlgraph/rlgraph': ['full', 'latest', 'py3-full', 'py3-full-torch-jq', 'py3-minimal', 'py3-tf-minimal']}","{'/docker/full_from_tf/Dockerfile', '/docker/full/Dockerfile', '/docker/travis/Dockerfile', '/docker/minimal/Dockerfile'}",1,"{'/docker/full_from_tf/Dockerfile': ['tensorflow/tensorflow:latest-py3'], '/docker/full/Dockerfile': ['ubuntu:cosmic'], '/docker/minimal/Dockerfile': ['tensorflow/tensorflow:latest-py3'], '/docker/travis/Dockerfile': ['tensorflow/tensorflow:latest-py3']}","{'/docker/full_from_tf/Dockerfile': {'Dependencies': 19, 'Build/Execute': 13, 'Filesystem': 7}, '/docker/full/Dockerfile': {'Dependencies': 21, 'Build/Execute': 18, 'Filesystem': 9}, '/docker/minimal/Dockerfile': {'Build/Execute': 19, 'Dependencies': 13}, '/docker/travis/Dockerfile': {'Build/Execute': 21, 'Dependencies': 14}}",0,{},{},{},{},{},0,,,,,,
bark-simulator/bark,application,2,{},"{'barksim/bark': ['gcc7', 'latest']}","{'/tools/ci/Dockerfile', '/tools/Dockerfile'}",1,"{'/tools/Dockerfile': ['openjdk:8', 'python:3.7'], '/tools/ci/Dockerfile': ['quay.io/pypa/manylinux2014_x86_64']}","{'/tools/Dockerfile': {'Build/Execute': 6, 'Dependencies': 4, 'Environment': 1}, '/tools/ci/Dockerfile': {'Filesystem': 13, 'Dependencies': 12, 'Build/Execute': 12, 'Environment': 2, 'Permissions': 1}}",0,{},{},{},{},{},0,,,,,,
tinyms-ai/tinyms,DL framwork,9,{},{},"{'/docker/tinyms/0.1.0-jupyter/Dockerfile', '/docker/tinyms/0.2.0/Dockerfile', '/docker/tinyms/0.3.0-jupyter/Dockerfile', '/docker/tinyms/0.3.0/Dockerfile', '/docker/tinyms/0.2.1/Dockerfile', '/docker/tinyms/0.2.1-jupyter/Dockerfile', '/docker/tinyms/0.2.0-jupyter/Dockerfile', '/docker/tinyms/0.1.0/Dockerfile', '/docker/tinyms/0.3.0-nginx/Dockerfile'}",0,"{'/docker/tinyms/0.1.0-jupyter/Dockerfile': ['$BASE_CONTAINER'], '/docker/tinyms/0.3.0/Dockerfile': ['$BASE_CONTAINER'], '/docker/tinyms/0.3.0-jupyter/Dockerfile': ['$BASE_CONTAINER'], '/docker/tinyms/0.1.0/Dockerfile': ['$BASE_CONTAINER'], '/docker/tinyms/0.2.0-jupyter/Dockerfile': ['$BASE_CONTAINER'], '/docker/tinyms/0.3.0-nginx/Dockerfile': ['$BASE_CONTAINER'], '/docker/tinyms/0.2.0/Dockerfile': ['$BASE_CONTAINER'], '/docker/tinyms/0.2.1-jupyter/Dockerfile': ['$BASE_CONTAINER'], '/docker/tinyms/0.2.1/Dockerfile': ['$BASE_CONTAINER']}","{'/docker/tinyms/0.1.0-jupyter/Dockerfile': {'Build/Execute': 2, 'Dependencies': 1}, '/docker/tinyms/0.3.0/Dockerfile': {'Dependencies': 3, 'Build/Execute': 2}, '/docker/tinyms/0.3.0-jupyter/Dockerfile': {'Build/Execute': 2, 'Dependencies': 1}, '/docker/tinyms/0.1.0/Dockerfile': {'Dependencies': 2, 'Build/Execute': 1}, '/docker/tinyms/0.2.0-jupyter/Dockerfile': {'Build/Execute': 2, 'Dependencies': 1}, '/docker/tinyms/0.3.0-nginx/Dockerfile': {'Filesystem': 9, 'Dependencies': 8, 'Build/Execute': 2}, '/docker/tinyms/0.2.0/Dockerfile': {'Dependencies': 2, 'Build/Execute': 1}, '/docker/tinyms/0.2.1-jupyter/Dockerfile': {'Build/Execute': 2, 'Dependencies': 1}, '/docker/tinyms/0.2.1/Dockerfile': {'Dependencies': 2, 'Build/Execute': 1}}",0,{},{},{},{},{},0,,,,,,
rosette-api/java,application,1,{},{},{'/examples/docker/Dockerfile'},0,{'/examples/docker/Dockerfile': ['maven:3.3.3-jdk-8']},"{'/examples/docker/Dockerfile': {'Dependencies': 4, 'Build/Execute': 1, 'Filesystem': 1, 'Permissions': 1}}",0,{},{},{},{},{},0,,,,,,
petuum/adaptdl,mlops,5,{},{},"{'/examples/BERT/Dockerfile', '/sched/Dockerfile', '/docs/tutorial/Dockerfile', '/examples/Dockerfile', '/tutorial/Dockerfile'}",0,"{'/tutorial/Dockerfile': ['python:3.7-slim', 'pytorch/pytorch:1.4-cuda10.1-cudnn7-runtime'], '/sched/Dockerfile': ['python:3.8'], '/docs/tutorial/Dockerfile': ['python:3.7-slim', 'pytorch/pytorch:1.4-cuda10.1-cudnn7-runtime'], '/examples/Dockerfile': ['python:3.7-slim', 'pytorch/pytorch:1.6.0-cuda10.1-cudnn7-runtime'], '/examples/BERT/Dockerfile': ['pytorch/pytorch:1.6.0-cuda10.1-cudnn7-runtime']}","{'/tutorial/Dockerfile': {'Build/Execute': 3, 'Filesystem': 2, 'Dependencies': 2}, '/sched/Dockerfile': {'Filesystem': 4, 'Build/Execute': 4, 'Dependencies': 2}, '/docs/tutorial/Dockerfile': {'Build/Execute': 3, 'Filesystem': 2, 'Dependencies': 2}, '/examples/Dockerfile': {'Build/Execute': 3, 'Filesystem': 2, 'Dependencies': 2}, '/examples/BERT/Dockerfile': {'Build/Execute': 4, 'Dependencies': 2, 'Filesystem': 1}}",0,{},{},{},{},{},1,,,,,,
imjoy-team/ImJoy,mlops,2,{},"{'imjoy/imjoy-app-engine': ['04b99e9fa67274722c670dd0b6f186eaf27e0c89', '07e8d73764398ca7f05d9cd8e42565d5674de94b', '09d404663f0e8806234016626c7bbad063174185', '2a57b24a05c701fc7f6bbe13c5c1214f3b6cb95f', '32f77faa99bc8fcdc58996a7a22d374244b259b8', '37aa14433b31413eb429287ca155489a81e8d1fa', '3e8dc5488334feba2be5e9d715db8c6ae927d472', '3fda1cdaf2c0ee9fd318dfd1c0d4669b56c79650', '520415e85cac1c3d74f3855dd157c0a7c3e5f591', '637bed1320da56be2d64e6778f5c96e4626f2ed0', '68bd33411d3553c7236ece724da924ba56a34600', '7417edce4641121cb75cb53713f474937c8f2dff', '7611603d350025fa3cf8bd62b98894e994e45d4c', '7826c5cafb96672d8d7e3fd4ffa0dd3ed734cddc', '7af7c9901fe2fe9659816d3c9282d27ce2242435', '7bcf6f8a54c5fce3a16a786d750db883ca5538c4', '8048d797b2cc667e39d4c170679ff356788bc56e', '858c59a96f88d0306de47c859250347d9d9a5ad9', '9295e2719261d27b4562722b70ed9164e9d14a1c', '93f7894ce9079bdaeaa1fdd3f41900e1f52f7270', '9cde6efe6c0b0d07dcb27cc6078cad6ab89711c2', 'a5fa8aeaa597bc4d3e0a201ab878287d9f7d7e03', 'abf1f77884619c4e4a332bc49637df75edaa0f2f', 'adb2dcddb8560adba0240e13a0dfc644d79f2ec9', 'b1a7cb39a7e3c453c0a98e1072010cf4684e44f9', 'b1d963ef714e6530b4c9ee9d9df75265c12ca8f9', 'b830cf4cf101d6e7686876fad5340123fd6e965c', 'c47ff015357d1a1a618c8635d4c61b7178c7eee9', 'c6c63ec358498cf019f1cb74d26c9ad48811e9d2', 'cfa65d8d993e22afcde474a8ed817030bf9e9710', 'd162125b87f1bbfb3f27904ecb2082fd3387ddaf', 'd34b3ec0931d75ce640510e97924308ce8e05e60', 'e030bbff4203f7dc8f476054d98f22fab222f3b7', 'e5e05b096662813be67fee7b64a6a3a21b536338', 'ea616ca0dbefdc9466a5be0d883af5e80fbcd0fa', 'f1cc6ec941048df07fb1a5c57b0728d68fc49804', 'f830cf884bb121c5a51377777d05302f7e204b57', 'fd6380d96e76fd8734e8461724d2be49ef741664', 'latest']}","{'/web/Dockerfile', '/web/public/static/vs/basic-languages/dockerfile/dockerfile.js'}",1,{'/web/Dockerfile': ['node:8']},"{'/web/Dockerfile': {'Dependencies': 4, 'Build/Execute': 2, 'Filesystem': 1}, '/web/public/static/vs/basic-languages/dockerfile/dockerfile.js': {}}",0,{},{},{},{},{},0,,,,,,
carefree0910/carefree-learn,DL framwork,1,{},{},{'/Dockerfile'},0,{'/Dockerfile': ['nvcr.io/nvidia/pytorch:21.07-py3']},"{'/Dockerfile': {'Dependencies': 13, 'Build/Execute': 10}}",0,{},{},{},{},{},1,,,,,,
neuronets/nobrainer,DL framwork,2,{},{},"{'/docker/gpu.Dockerfile', '/docker/cpu.Dockerfile'}",0,"{'/docker/cpu.Dockerfile': ['tensorflow/tensorflow:2.7.0-jupyter'], '/docker/gpu.Dockerfile': ['tensorflow/tensorflow:2.7.0-gpu-jupyter']}","{'/docker/cpu.Dockerfile': {'Dependencies': 9, 'Filesystem': 3, 'Build/Execute': 3, 'Environment': 1}, '/docker/gpu.Dockerfile': {'Dependencies': 9, 'Filesystem': 3, 'Build/Execute': 3, 'Environment': 1}}",0,{},{},{},{},{},0,,,,,,
hamelsmu/ktext,application,2,{},{'hamelsmu/ktext-test': ['latest']},"{'/test.Dockerfile', '/Dockerfile'}",1,"{'/Dockerfile': ['python:3.6-slim-stretch'], '/test.Dockerfile': ['hamelsmu/ktext-test']}","{'/Dockerfile': {'Dependencies': 4, 'Build/Execute': 3}, '/test.Dockerfile': {'Build/Execute': 1}}",0,{},{},{},{},{},0,"build, run tests, integration tests, fetch data, preprocess, train model",Testing,"Model, data",,,
aniketmaurya/chitra,DL framwork,2,{},{'aniketmaurya/chitra': ['latest']},"{'/chitra/assets/API.Dockerfile', '/.github/Dockerfile'}",1,"{'/.github/Dockerfile': ['python:3.7'], '/chitra/assets/API.Dockerfile': ['aniketmaurya/chitra:latest']}","{'/.github/Dockerfile': {'Dependencies': 6, 'Build/Execute': 3, 'Filesystem': 1}, '/chitra/assets/API.Dockerfile': {'Dependencies': 1, 'Build/Execute': 1}}",0,{},{},{},{},{},1,,,,,,
BYU-PCCL/holodeck,tool,3,{},{},"{'/docker/Dockerfile', '/docker/Dockerfile_dexterity', '/docker/Dockerfile_default_worlds'}",0,"{'/docker/Dockerfile_dexterity': ['pccl/holodeck:base'], '/docker/Dockerfile': ['nvidia/cudagl:9.2-runtime-ubuntu18.04'], '/docker/Dockerfile_default_worlds': ['pccl/holodeck:base']}","{'/docker/Dockerfile_dexterity': {'Build/Execute': 1}, '/docker/Dockerfile': {'Dependencies': 7, 'Build/Execute': 5, 'Permissions': 1}, '/docker/Dockerfile_default_worlds': {'Build/Execute': 1}}",0,{},{},{},{},{},2,,,,,,
plstcharles/litiv,tool,1,{},"{'plstcharles/litiv': ['23d3afed987ec876b0747933113ae3c2f5ab5569', '29aeaa0d08358a61b80eba8cdb51ece79e725f3b', '471fa42475bfc704b39eb1b2d5475ce660d6442c', '49aac407548e1ce5d18934f5880735f26deaf300', 'a116ed3dad87444635029613e3966c074823895f', 'latest', 'v1.3.4', 'v1.4.0', 'v1.5.0', 'v1.6.0', 'v1.6.1']}",{'/Dockerfile'},1,{'/Dockerfile': ['plstcharles/litiv-base']},{'/Dockerfile': {'Build/Execute': 4}},0,{},{},{},{},{},1,"build, bash command, buildtools",,,,,
alexandrainst/danlp,model,1,{},"{'alexandrainst/danlp': ['0.0.2', '0.0.2-notebook', 'latest', 'latest-notebook']}",{'/docker/python-image/Dockerfile'},1,{'/docker/python-image/Dockerfile': ['python:3.7']},"{'/docker/python-image/Dockerfile': {'Dependencies': 1, 'Build/Execute': 1}}",0,{},{},{},{},{},0,,,,,,
MarvinLer/pypownet,application,1,{},{},{'/Dockerfile'},0,{'/Dockerfile': ['python:3.6-stretch']},"{'/Dockerfile': {'Dependencies': 6, 'Build/Execute': 4, 'Filesystem': 3}}",0,{},{},{},{},{},0,,,,,,
ain-soph/trojanzoo,application,2,"{'cpu': ['/docker/cpu.dockerfile'], 'gpu': ['/docker/gpu.dockerfile']}","{'local0state/trojanzoo': ['1.0.10', '1.0.10-cpu', '1.0.10-gpu', '1.0.11', '1.0.11-cpu', '1.0.11-gpu', '1.0.12', '1.0.12-cpu', '1.0.12-gpu', 'cpu', 'gpu', 'latest']}","{'/docker/cpu.dockerfile', '/docker/gpu.dockerfile'}",1,"{'/docker/cpu.dockerfile': ['local0state/base:cpu-conda'], '/docker/gpu.dockerfile': ['local0state/base:gpu-conda']}","{'/docker/cpu.dockerfile': {'Dependencies': 2, 'Filesystem': 2, 'Build/Execute': 1}, '/docker/gpu.dockerfile': {'Dependencies': 2, 'Filesystem': 2, 'Build/Execute': 1}}",0,{},{},{},{},{},0,,,,,,
fastestimator/fastestimator,DL framwork,4,{},{},"{'/docker/stable/Dockerfile.gpu', '/docker/stable/Dockerfile.cpu', '/docker/nightly/Dockerfile.cpu', '/docker/nightly/Dockerfile.gpu'}",0,"{'/docker/stable/Dockerfile.cpu': ['tensorflow/tensorflow:2.4.1'], '/docker/stable/Dockerfile.gpu': ['tensorflow/tensorflow:2.4.1-gpu'], '/docker/nightly/Dockerfile.cpu': ['tensorflow/tensorflow:2.4.1'], '/docker/nightly/Dockerfile.gpu': ['tensorflow/tensorflow:2.4.1-gpu']}","{'/docker/stable/Dockerfile.cpu': {'Dependencies': 11, 'Build/Execute': 9, 'Permissions': 1}, '/docker/stable/Dockerfile.gpu': {'Dependencies': 11, 'Build/Execute': 9, 'Permissions': 1}, '/docker/nightly/Dockerfile.cpu': {'Dependencies': 11, 'Build/Execute': 9, 'Permissions': 1}, '/docker/nightly/Dockerfile.gpu': {'Dependencies': 11, 'Build/Execute': 9, 'Permissions': 1}}",0,{},{},{},{},{},0,,,,,,
SKKU-ESLAB/ANT,application,2,{},{},"{'/Dockerfile', '/app-launcher/controlpad/vs/basic-languages/dockerfile/dockerfile.js'}",0,{'/Dockerfile': ['ubuntu:20.04']},"{'/Dockerfile': {'Filesystem': 6, 'Build/Execute': 1}, '/app-launcher/controlpad/vs/basic-languages/dockerfile/dockerfile.js': {}}",0,{},{},{},{},{},0,,,,,,
chainer/onnx-chainer,DL framwork,1,{},{},{'/.flexci/Dockerfile'},0,{'/.flexci/Dockerfile': ['nvidia/cuda:10.1-cudnn7-devel']},"{'/.flexci/Dockerfile': {'Dependencies': 6, 'Filesystem': 4, 'Build/Execute': 4}}",0,{},{},{},{},{},0,,,,,,
madsjulia/Mads.jl,mlops,1,{},{'montyvesselinov/madsjulia': ['latest']},{'/Docker/madsjulia/Dockerfile'},1,{'/Docker/madsjulia/Dockerfile': ['ubuntu:18.04']},"{'/Docker/madsjulia/Dockerfile': {'Filesystem': 6, 'Dependencies': 4, 'Build/Execute': 4, 'Permissions': 2, 'Environment': 1}}",0,{},{},{},{},{},1,build and serve,Production,Workfllow,,Julia,
knorth55/coral_usb_ros,DL framwork,3,{},{},"{'/training/labelme_voc/Dockerfile', '/docker/Dockerfile', '/training/epic_kitchens_55/Dockerfile'}",0,"{'/docker/Dockerfile': ['osrf/ros:${ROS_DISTRO}-desktop-${UBUNTU_VERSION}'], '/training/epic_kitchens_55/Dockerfile': ['tensorflow/tensorflow:1.12.0-rc2-devel-gpu'], '/training/labelme_voc/Dockerfile': ['tensorflow/tensorflow:1.12.0-rc2-devel-gpu']}","{'/docker/Dockerfile': {'Dependencies': 26, 'Build/Execute': 11, 'Filesystem': 10, 'Environment': 1}, '/training/epic_kitchens_55/Dockerfile': {'Dependencies': 20, 'Build/Execute': 13, 'Filesystem': 11}, '/training/labelme_voc/Dockerfile': {'Dependencies': 20, 'Build/Execute': 13, 'Filesystem': 11}}",0,{},{},{},{},{},0,,,,,,
nipreps/smriprep,mlops,1,{},"{'nipreps/smriprep': ['0.7.0', '0.7.0rc1', '0.7.0rc2', '0.7.1', '0.7.2', '0.8.0', '0.8.0rc0', '0.8.0rc1', '0.8.0rc2', '0.8.0rc3', '0.8.1', '0.8.2', 'latest', 'unstable']}",{'/Dockerfile'},1,{'/Dockerfile': ['ubuntu:focal-20210416']},"{'/Dockerfile': {'Filesystem': 36, 'Dependencies': 26, 'Build/Execute': 6, 'Permissions': 5}}",0,{},{},{},{},{},2,"build, tool/ integration",Production,,"parallelization, concurrently","ubuntu, os, AFNI, Convert3D neurodocker, ANTs, CPATH, nipype",
RidgeRun/gst-inference,DL framwork,1,{},{},{'/docker/Dockerfile-Ubuntu-16.04'},0,{'/docker/Dockerfile-Ubuntu-16.04': ['ubuntu:16.04']},"{'/docker/Dockerfile-Ubuntu-16.04': {'Dependencies': 7, 'Filesystem': 4, 'Build/Execute': 4}}",0,{},{},{},{},{},0,,,,,,
CampagneLaboratory/variationanalysis,DL framwork,2,{},"{'artifacts/variationanalysis-app': ['1.0', '1.0.1', '1.0.2', '1.0.3', '1.0.4', '1.0.5', '1.0.6', '1.0.7', '1.0.8', 'latest']}","{'/dl4j/docker-base/Dockerfile', '/dl4j/docker-dl4j/Dockerfile'}",1,"{'/dl4j/docker-dl4j/Dockerfile': ['artifacts/centos-systemd:7'], '/dl4j/docker-base/Dockerfile': ['centos:7']}","{'/dl4j/docker-dl4j/Dockerfile': {'Filesystem': 35, 'Dependencies': 30, 'Build/Execute': 17, 'Environment': 8}, '/dl4j/docker-base/Dockerfile': {'Filesystem': 5}}",0,{},{},{},{},{},0,,,,,,
clara-parabricks/AtacWorks,application,3,{},"{'claraomics/atacworks': ['dev-v0.2.0', 'latest', 'source-latest', 'source-v0.3.0', 'test', 'v0.2.0', 'v0.2.3', 'v0.3.0']}","{'/Dockerfile.md', '/Dockerfile', '/docs/Dockerfile.md'}",1,{'/Dockerfile': ['nvidia/cuda:10.1-cudnn7-runtime-ubuntu18.04']},"{'/Dockerfile.md': {'Environment': 2}, '/Dockerfile': {'Dependencies': 12, 'Build/Execute': 6, 'Filesystem': 1}, '/docs/Dockerfile.md': {'Environment': 2}}",0,{},{},{},{},{},0,,,,,,
kleveross/klever-model-registry,mlops,24,{},{},"{'/build/extract/graphdef/Dockerfile', '/build/convert/netdef_to_onnx/Dockerfile', '/build/serving/mlserver/Dockerfile', '/build/extract/tensorrt/Dockerfile', '/build/extract/savedmodel/Dockerfile', '/build/extract/mxnetparams/Dockerfile', '/build/nvcaffe-cpu/Dockerfile', '/vendor/golang.org/x/net/http2/Dockerfile', '/build/serving/openscoring/Dockerfile', '/build/extract/onnx/Dockerfile', '/build/extract/pmml/Dockerfile', '/build/convert/caffemodel_to_netdef/Dockerfile', '/vendor/github.com/pelletier/go-toml/Dockerfile', '/vendor/github.com/docker/distribution/Dockerfile', '/build/extract/netdef/Dockerfile', '/build/convert/mxnetparams_to_onnx/Dockerfile', '/build/extract/caffemodel/Dockerfile', '/build/model-registry/Dockerfile', '/build/modeljob-operator/Dockerfile', '/vendor/github.com/nxadm/tail/Dockerfile', '/build/convert/h5_to_savedmodel/Dockerfile', '/build/serving/tritonserver/Dockerfile', '/build/extract/torchscript/Dockerfile', '/build/extract/h5/Dockerfile'}",0,"{'/build/serving/tritonserver/Dockerfile': ['nvcr.io/nvidia/tritonserver:20.09-py3'], '/build/serving/openscoring/Dockerfile': ['centos:7.4.1708'], '/build/serving/mlserver/Dockerfile': ['openjdk:slim'], '/build/modeljob-operator/Dockerfile': ['gcr.io/distroless/static:nonroot'], '/build/nvcaffe-cpu/Dockerfile': ['ubuntu:18.04 AS caffe', 'ubuntu:18.04'], '/build/model-registry/Dockerfile': ['debian:stretch'], '/build/extract/graphdef/Dockerfile': ['tensorflow/tensorflow:1.15.3-py3'], '/build/extract/netdef/Dockerfile': ['python:3.6-slim'], '/build/extract/h5/Dockerfile': ['tensorflow/tensorflow:1.15.3-py3'], '/build/extract/onnx/Dockerfile': ['python:3.6-slim'], '/build/extract/savedmodel/Dockerfile': ['tensorflow/tensorflow:1.15.3-py3'], '/build/extract/torchscript/Dockerfile': ['python:3.6-slim'], '/build/extract/mxnetparams/Dockerfile': ['python:3.6-slim'], '/build/extract/pmml/Dockerfile': ['centos:7.4.1708'], '/build/extract/tensorrt/Dockerfile': ['nvcr.io/nvidia/tensorrt:20.08-py3'], '/build/extract/caffemodel/Dockerfile': ['ghcr.io/kleveross/nvcaffe:cpu-0.16.5'], '/build/convert/h5_to_savedmodel/Dockerfile': ['tensorflow/tensorflow:1.15.3-py3'], '/build/convert/netdef_to_onnx/Dockerfile': ['python:3.6-slim'], '/build/convert/caffemodel_to_netdef/Dockerfile': ['python:3.6-slim'], '/build/convert/mxnetparams_to_onnx/Dockerfile': ['python:3.6-slim'], '/vendor/golang.org/x/net/http2/Dockerfile': ['ubuntu:trusty'], '/vendor/github.com/pelletier/go-toml/Dockerfile': ['golang:1.12-alpine3.9 as builder', 'scratch'], '/vendor/github.com/docker/distribution/Dockerfile': ['golang:1.11-alpine AS build', 'alpine'], '/vendor/github.com/nxadm/tail/Dockerfile': ['golang']}","{'/build/serving/tritonserver/Dockerfile': {'Dependencies': 4, 'Build/Execute': 3, 'Filesystem': 1}, '/build/serving/openscoring/Dockerfile': {'Dependencies': 5, 'Build/Execute': 3}, '/build/serving/mlserver/Dockerfile': {'Dependencies': 5, 'Filesystem': 5, 'Build/Execute': 4}, '/build/modeljob-operator/Dockerfile': {}, '/build/nvcaffe-cpu/Dockerfile': {'Dependencies': 13, 'Filesystem': 11, 'Build/Execute': 10}, '/build/model-registry/Dockerfile': {}, '/build/extract/graphdef/Dockerfile': {'Dependencies': 5, 'Filesystem': 3, 'Build/Execute': 2}, '/build/extract/netdef/Dockerfile': {'Dependencies': 5, 'Filesystem': 3, 'Build/Execute': 2}, '/build/extract/h5/Dockerfile': {'Dependencies': 5, 'Filesystem': 3, 'Build/Execute': 2}, '/build/extract/onnx/Dockerfile': {'Dependencies': 5, 'Filesystem': 3, 'Build/Execute': 2}, '/build/extract/savedmodel/Dockerfile': {'Dependencies': 5, 'Filesystem': 3, 'Build/Execute': 2}, '/build/extract/torchscript/Dockerfile': {'Dependencies': 5, 'Filesystem': 3, 'Build/Execute': 2}, '/build/extract/mxnetparams/Dockerfile': {'Dependencies': 5, 'Filesystem': 3, 'Build/Execute': 2}, '/build/extract/pmml/Dockerfile': {'Dependencies': 6, 'Build/Execute': 3, 'Filesystem': 2}, '/build/extract/tensorrt/Dockerfile': {'Dependencies': 5, 'Filesystem': 3, 'Build/Execute': 2}, '/build/extract/caffemodel/Dockerfile': {'Dependencies': 5, 'Filesystem': 3, 'Build/Execute': 2}, '/build/convert/h5_to_savedmodel/Dockerfile': {'Dependencies': 5, 'Filesystem': 3, 'Build/Execute': 2}, '/build/convert/netdef_to_onnx/Dockerfile': {'Dependencies': 5, 'Filesystem': 3, 'Build/Execute': 2}, '/build/convert/caffemodel_to_netdef/Dockerfile': {'Dependencies': 7, 'Filesystem': 6, 'Build/Execute': 3}, '/build/convert/mxnetparams_to_onnx/Dockerfile': {'Dependencies': 5, 'Filesystem': 3, 'Build/Execute': 2}, '/vendor/golang.org/x/net/http2/Dockerfile': {'Build/Execute': 12, 'Dependencies': 9, 'Filesystem': 2}, '/vendor/github.com/pelletier/go-toml/Dockerfile': {'Build/Execute': 2}, '/vendor/github.com/docker/distribution/Dockerfile': {'Dependencies': 2, 'Build/Execute': 2, 'Environment': 1}, '/vendor/github.com/nxadm/tail/Dockerfile': {'Build/Execute': 6, 'Filesystem': 1}}",0,{},{},{},{},{},1,,,,,,
sirimullalab/DLSCORE,application,1,{},{'sirimullalab/dlscore': ['latest']},{'/Dockerfile'},1,{'/Dockerfile': ['python:3.5-slim']},"{'/Dockerfile': {'Filesystem': 12, 'Dependencies': 7, 'Build/Execute': 3}}",0,{},{},{},{},{},1,,,,,,
weiji14/deepbedmap,application,1,{},{},{'/Dockerfile'},0,"{'/Dockerfile': ['buildpack-deps:bionic@sha256:59661846ab0c581272f4b4688702617e6cc83ef1a9ae1cf918978126babbc858 AS base', 'base AS app']}","{'/Dockerfile': {'Dependencies': 6, 'Filesystem': 5, 'Build/Execute': 4, 'Permissions': 3, 'Environment': 2}}",0,{},{},{},{},{},1,,,,,,
aldor007/mort,mlops,3,{},{},"{'/example/Dockerfile', '/Dockerfile', '/Dockerfile.build'}",0,"{'/Dockerfile': ['ubuntu:20.04 as builder', 'ubuntu:20.04'], '/Dockerfile.build': ['golang:1.12.4-stretch'], '/example/Dockerfile': ['aldor007/mort']}","{'/Dockerfile': {'Dependencies': 17, 'Filesystem': 13, 'Build/Execute': 9, 'Permissions': 1}, '/Dockerfile.build': {'Dependencies': 16, 'Build/Execute': 11, 'Filesystem': 8, 'Permissions': 1}, '/example/Dockerfile': {'Filesystem': 1}}",0,{},{},{},{},{},2,,,,,,
cair/deep-rts,application,1,{},{'cair/deeprts': ['latest']},{'/Dockerfile'},1,{'/Dockerfile': ['ubuntu:18.04']},"{'/Dockerfile': {'Dependencies': 7, 'Build/Execute': 5, 'Filesystem': 2}}",0,{},{},{},{},{},0,,,,,,
mlrun/ui,application,1,{},{},{'/Dockerfile'},0,"{'/Dockerfile': ['node:12-alpine as build-stage', 'nginx:stable-alpine as production-stage']}","{'/Dockerfile': {'Filesystem': 4, 'Dependencies': 2, 'Build/Execute': 1}}",0,{},{},{},{},{},1,,,,,,
poets-ai/elegy,DL framwork,1,{},"{'elegypoets/elegy': ['gpu-latest', 'latest']}",{'/gitpod.Dockerfile'},1,{'/gitpod.Dockerfile': ['docker.io/python:${PY_VERSION}']},"{'/gitpod.Dockerfile': {'Dependencies': 1, 'Build/Execute': 1}}",0,{},{},{},{},{},1,"build and deploy, oncloud development, gitpod, server-side-dev-envs + dev-env-as-code + prebuilds + IDE + collaboration",Development/ distribution,,,gitpod,
AndrejOrsula/drl_grasping,application,1,{},"{'andrejorsula/drl_grasping': ['1.0.0', '1.1.0', 'latest']}",{'/docker/Dockerfile'},1,{'/docker/Dockerfile': ['${PARENT_IMAGE}']},"{'/docker/Dockerfile': {'Dependencies': 28, 'Build/Execute': 23, 'Filesystem': 22, 'Environment': 9}}",0,{},{},{},{},{},0,,,,,,
CertifaiAI/classifai,application,1,{},"{'certifaiai/classifai': ['2.0.0-snapshot', 'latest']}",{'/Dockerfile'},1,{'/Dockerfile': ['openjdk:14-oracle']},{'/Dockerfile': {}},0,{},{},{},{},{},0,,,,,,
jakowenko/double-take,application,2,{},{},"{'/.build/Dockerfile', '/.develop/Dockerfile.dev'}",0,"{'/.build/Dockerfile': ['ubuntu:20.04 as build', 'ubuntu:20.04'], '/.develop/Dockerfile.dev': ['ubuntu:20.04 as build', 'ubuntu:20.04']}","{'/.build/Dockerfile': {'Dependencies': 9, 'Build/Execute': 8, 'Filesystem': 5}, '/.develop/Dockerfile.dev': {'Dependencies': 7, 'Build/Execute': 7, 'Filesystem': 2}}",2,"{'/docker-compose.yml': '3.7', '/.develop/docker-compose.yml': '3.7'}","{'/docker-compose.yml': ['double-take; jakowenko/double-take'], '/.develop/docker-compose.yml': ['mqtt; eclipse-mosquitto']}",{},{'/docker-compose.yml': 1},{},4,,,,,,
