Topic,Repos,ProjectID,FileType,Sharedfiles,Memory
DL Framwork,tensorflow/tensorflow,P0,.svg,2.64,0.4092
DL Framwork,tensorflow/tensorflow,P0,none,0.55,0.0748
DL Framwork,tensorflow/tensorflow,P0,.pm,0.42,0.1478
DL Framwork,tensorflow/tensorflow,P0,.pl,0.25,0.0526
DL Framwork,tensorflow/tensorflow,P0,.Debian.1,0.2,0.0152
DL Framwork,tensorflow/tensorflow,P0,.png,0.18,0.0206
DL Framwork,tensorflow/tensorflow,P0,none,3.18,0.2503
DL Framwork,tensorflow/tensorflow,P0,.svg,2.45,0.167
DL Framwork,tensorflow/tensorflow,P0,.pm,0.76,0.142
DL Framwork,tensorflow/tensorflow,P0,.sty,0.62,0.0894
DL Framwork,tensorflow/tensorflow,P0,.pl,0.57,0.0547
DL Framwork,tensorflow/tensorflow,P0,.po,0.53,0.0058
DL Framwork,pytorch/pytorch,P4,none,10.29,0.0556
DL Framwork,pytorch/pytorch,P4,.pm,1.24,0.0689
DL Framwork,pytorch/pytorch,P4,.pl,0.89,0.0253
DL Framwork,pytorch/pytorch,P4,.Debian.1,0.39,0.0037
DL Framwork,pytorch/pytorch,P4,.html,0.35,0.0499
DL Framwork,pytorch/pytorch,P4,.crt,0.31,0.0017
DL Framwork,fastai/fastai,P3,none,3.66,0.179
DL Framwork,fastai/fastai,P3,.pm,1.53,0.3565
DL Framwork,fastai/fastai,P3,.pl,1.34,0.1603
DL Framwork,fastai/fastai,P3,.Debian.1,0.54,0.0146
DL Framwork,fastai/fastai,P3,.crt,0.28,0.0068
DL Framwork,fastai/fastai,P3,.rb,0.22,0.0173
DL Framwork,fastai/fastai,P3,none,4.76,0.2372
DL Framwork,fastai/fastai,P3,.vim,2.21,0.3006
DL Framwork,fastai/fastai,P3,.mo,2.12,1.4555
DL Framwork,fastai/fastai,P3,.pm,1.3,0.339
DL Framwork,fastai/fastai,P3,.pl,1.11,0.1527
DL Framwork,fastai/fastai,P3,.Debian.1,0.63,0.0189
DL Framwork,PaddlePaddle/Paddle,P2,none,3.58,0.1633
DL Framwork,PaddlePaddle/Paddle,P2,.3ssl.1,0.76,0.0383
DL Framwork,PaddlePaddle/Paddle,P2,.pm,0.62,0.1231
DL Framwork,PaddlePaddle/Paddle,P2,.rst,0.55,0.005
DL Framwork,PaddlePaddle/Paddle,P2,.pl,0.5,0.0435
DL Framwork,PaddlePaddle/Paddle,P2,.xml,0.4,0.0173
DL Framwork,PaddlePaddle/Paddle,P2,none,4.78,0.0716
DL Framwork,PaddlePaddle/Paddle,P2,.rst,3.89,0.0105
DL Framwork,PaddlePaddle/Paddle,P2,.cmake,2.23,0.0428
DL Framwork,PaddlePaddle/Paddle,P2,.vim,1.81,0.0659
DL Framwork,PaddlePaddle/Paddle,P2,.pm,1.15,0.0842
DL Framwork,PaddlePaddle/Paddle,P2,.xml,0.97,0.0148
DL Framwork,PaddlePaddle/Paddle,P2,none,8.16,0.0
DL Framwork,PaddlePaddle/Paddle,P2,.pl,1.81,0.0
DL Framwork,PaddlePaddle/Paddle,P2,.3ssl.1,1.43,0.0
DL Framwork,PaddlePaddle/Paddle,P2,.xml,1.42,0.0
DL Framwork,PaddlePaddle/Paddle,P2,.rst,1.23,0.0
DL Framwork,PaddlePaddle/Paddle,P2,.pm,0.96,0.0
