Topic,Repos,ProjectID,Tag,Metrics,Values
Application,wkentaro/labelme,P0,latest,Files shared,58
Application,wkentaro/labelme,P0,latest,Memory,9
DL Framwork,tensorflow/tensorflow,P3,1.10.0,Files shared,46
DL Framwork,tensorflow/tensorflow,P3,1.10.0,Memory,7
DL Framwork,tensorflow/tensorflow,P3,1.15.0-gpu,Files shared,36
DL Framwork,tensorflow/tensorflow,P3,1.15.0-gpu,Memory,1
DL Framwork,tensorflow/tensorflow,P3,2.3.0,Files shared,20
DL Framwork,tensorflow/tensorflow,P3,2.3.0,Memory,1
DL Framwork,tensorflow/tensorflow,P3,2.5.0-rc3-devel,Files shared,5
DL Framwork,tensorflow/tensorflow,P3,2.5.0-rc3-devel,Memory,2
DL Framwork,tensorflow/tensorflow,P3,nightlygpu,Files shared,42
DL Framwork,tensorflow/tensorflow,P3,nightlygpu,Memory,1
DL Framwork,tensorflow/tensorflow,P3,0.12.0,Files shared,13
DL Framwork,tensorflow/tensorflow,P3,0.12.0,Memory,3
DL Framwork,tensorflow/tensorflow,P3,0.22.0.dev20200228,Files shared,12
DL Framwork,tensorflow/tensorflow,P3,0.22.0.dev20200228,Memory,2
DL Framwork,tensorflow/tensorflow,P3,0.25.0.dev20201003,Files shared,8
DL Framwork,tensorflow/tensorflow,P3,0.25.0.dev20201003,Memory,2
DL Framwork,tensorflow/tensorflow,P3,0.29.0.dev20210327,Files shared,21
DL Framwork,tensorflow/tensorflow,P3,0.29.0.dev20210327,Memory,3
DL Framwork,tensorflow/tensorflow,P3,workshop-latest,Files shared,40
DL Framwork,tensorflow/tensorflow,P3,workshop-latest,Memory,6
DL Framwork,pytorch/pytorch,P2,0.4-cuda9-cudnn7-devel,Files shared,24
DL Framwork,pytorch/pytorch,P2,0.4-cuda9-cudnn7-devel,Memory,1
DL Framwork,pytorch/pytorch,P2,1.2-cuda10.0-cudnn7-devel,Files shared,23
DL Framwork,pytorch/pytorch,P2,1.2-cuda10.0-cudnn7-devel,Memory,0
DL Framwork,pytorch/pytorch,P2,1.6.0-cuda10.1-cudnn7-runtime,Files shared,16
DL Framwork,pytorch/pytorch,P2,1.6.0-cuda10.1-cudnn7-runtime,Memory,0
DL Framwork,pytorch/pytorch,P2,1.9.0-cuda10.2-cudnn7-devel,Files shared,17
DL Framwork,pytorch/pytorch,P2,1.9.0-cuda10.2-cudnn7-devel,Memory,0
DL Framwork,pytorch/pytorch,P2,v0.2,Files shared,13
DL Framwork,pytorch/pytorch,P2,v0.2,Memory,1
Machine Learning,scikit-learn/scikit-learn,P3,20200918.v1,Files shared,34
Machine Learning,scikit-learn/scikit-learn,P3,20200918.v1,Memory,0
Machine Learning,scikit-learn/scikit-learn,P3,20201209.v1,Files shared,28
Machine Learning,scikit-learn/scikit-learn,P3,20201209.v1,Memory,0
Machine Learning,scikit-learn/scikit-learn,P3,20210402.v1,Files shared,27
