Topic,Repos,ProjectID,FileType,Sharedfiles,Memory
AutoML,microsoft/nni,P0,none,9.0,0.1601
AutoML,microsoft/nni,P0,.rst,2.12,0.0096
AutoML,microsoft/nni,P0,.vim,1.99,0.1222
AutoML,microsoft/nni,P0,.cmake,1.25,0.0411
AutoML,microsoft/nni,P0,.pm,1.25,0.1686
AutoML,microsoft/nni,P0,.pl,0.91,0.0608
AutoML,keras-team/autokeras,P4,none,4.97,0.143
AutoML,keras-team/autokeras,P4,.sip,1.14,0.0361
AutoML,keras-team/autokeras,P4,.pm,0.49,0.0713
AutoML,keras-team/autokeras,P4,.gz,0.42,0.0504
AutoML,keras-team/autokeras,P4,.pl,0.36,0.0263
AutoML,keras-team/autokeras,P4,.html,0.33,0.1225
AutoML,autogoal/autogoal,P2,none,5.19,0.2139
AutoML,autogoal/autogoal,P2,.vim,1.14,0.0773
AutoML,autogoal/autogoal,P2,.pm,1.05,0.1593
AutoML,autogoal/autogoal,P2,.pl,0.82,0.0587
AutoML,autogoal/autogoal,P2,.mo,0.58,0.3984
AutoML,autogoal/autogoal,P2,.Debian.1,0.54,0.0436
