Topic,Repos,ProjectID,fileType,Sharedfiles
Model,ultralytics/yolov5,P4,.cmake,1
Model,ultralytics/yolov5,P4,.vim,1
Model,ultralytics/yolov5,P4,.svg,1
Model,ultralytics/yolov5,P4,.js,5
Model,ultralytics/yolov5,P4,none,4
Model,ultralytics/yolov5,P4,.rst,2
Model,ultralytics/yolov5,P4,.cmake,1
Model,ultralytics/yolov5,P4,.js.1,1
Model,ultralytics/yolov5,P4,.d.1,1
DL Framwork,PaddlePaddle/Paddle,P4,none,4
DL Framwork,PaddlePaddle/Paddle,P4,.3ssl.1,1
DL Framwork,PaddlePaddle/Paddle,P4,.pm,1
DL Framwork,PaddlePaddle/Paddle,P4,.rst,1
DL Framwork,PaddlePaddle/Paddle,P4,.pl,1
DL Framwork,PaddlePaddle/Paddle,P4,.xml,0
DL Framwork,PaddlePaddle/Paddle,P4,none,5
DL Framwork,PaddlePaddle/Paddle,P4,.rst,4
DL Framwork,PaddlePaddle/Paddle,P4,.cmake,2
DL Framwork,PaddlePaddle/Paddle,P4,.vim,2
DL Framwork,PaddlePaddle/Paddle,P4,.pm,1
DL Framwork,PaddlePaddle/Paddle,P4,.xml,1
DL Framwork,PaddlePaddle/Paddle,P4,none,8
DL Framwork,PaddlePaddle/Paddle,P4,.pl,2
DL Framwork,PaddlePaddle/Paddle,P4,.3ssl.1,1
DL Framwork,PaddlePaddle/Paddle,P4,.xml,1
DL Framwork,PaddlePaddle/Paddle,P4,.rst,1
DL Framwork,PaddlePaddle/Paddle,P4,.pm,1
Machine Learning,microsoft/LightGBM,P1,none,7
Machine Learning,microsoft/LightGBM,P1,.png,6
Machine Learning,microsoft/LightGBM,P1,.symbolic.1,2
Machine Learning,microsoft/LightGBM,P1,.mo,2
Machine Learning,microsoft/LightGBM,P1,.rst,1
Machine Learning,microsoft/LightGBM,P1,.cmake,1
ToolKit,JaidedAI/EasyOCR,P4,none,11
ToolKit,JaidedAI/EasyOCR,P4,.xml,1
ToolKit,JaidedAI/EasyOCR,P4,.pm,1
ToolKit,JaidedAI/EasyOCR,P4,.pl,1
ToolKit,JaidedAI/EasyOCR,P4,.html,0
ToolKit,JaidedAI/EasyOCR,P4,.Debian.1,0
AutoML,microsoft/nni,P4,none,9
AutoML,microsoft/nni,P4,.rst,2
AutoML,microsoft/nni,P4,.vim,2
AutoML,microsoft/nni,P4,.cmake,1
AutoML,microsoft/nni,P4,.pm,1
AutoML,microsoft/nni,P4,.pl,1
AutoML,keras-team/autokeras,P0,none,5
AutoML,keras-team/autokeras,P0,.sip,1
AutoML,keras-team/autokeras,P0,.pm,0
AutoML,keras-team/autokeras,P0,.gz,0
AutoML,keras-team/autokeras,P0,.pl,0
AutoML,keras-team/autokeras,P0,.html,0
Machine Learning,catboost/catboost,P0,.crt,1
Machine Learning,catboost/catboost,P0,none,0
Machine Learning,catboost/catboost,P0,.alpinelinux.1.2.3,0
Machine Learning,catboost/catboost,P0,.py,0
Machine Learning,catboost/catboost,P0,.h,0
Machine Learning,catboost/catboost,P0,.cpython-37.1.2,0
Machine Learning,aksnzhy/xlearn,P4,none,19
Machine Learning,aksnzhy/xlearn,P4,.rst,4
Machine Learning,aksnzhy/xlearn,P4,.cmake,3
Machine Learning,aksnzhy/xlearn,P4,.pm,2
Machine Learning,aksnzhy/xlearn,P4,.pl,2
Machine Learning,aksnzhy/xlearn,P4,.Debian.1,1
Machine Learning,pymc-devs/pymc,P2,.tfm,12
Machine Learning,pymc-devs/pymc,P2,.svg,11
Machine Learning,pymc-devs/pymc,P2,none,6
Machine Learning,pymc-devs/pymc,P2,.htf,5
Machine Learning,pymc-devs/pymc,P2,.vf,4
Machine Learning,pymc-devs/pymc,P2,.sty,3
Documentation,yandexdataschool/Practical_RL,P3,none,2
Documentation,yandexdataschool/Practical_RL,P3,.rst,1
Documentation,yandexdataschool/Practical_RL,P3,.pm,1
Documentation,yandexdataschool/Practical_RL,P3,.cmake,1
Documentation,yandexdataschool/Practical_RL,P3,.Debian.1,1
Documentation,yandexdataschool/Practical_RL,P3,.xml,1
Model,qubvel/segmentation_models.pytorch,P2,.vim,6
Model,qubvel/segmentation_models.pytorch,P2,.pm,4
Model,qubvel/segmentation_models.pytorch,P2,none,4
Model,qubvel/segmentation_models.pytorch,P2,.xml,3
Model,qubvel/segmentation_models.pytorch,P2,.pl,3
Model,qubvel/segmentation_models.pytorch,P2,.Debian.1,1
ToolKit,IBM/fhe-toolkit-linux,P3,none,2
ToolKit,IBM/fhe-toolkit-linux,P3,.rst,1
ToolKit,IBM/fhe-toolkit-linux,P3,.vim,1
ToolKit,IBM/fhe-toolkit-linux,P3,.cmake,1
ToolKit,IBM/fhe-toolkit-linux,P3,.pm,1
