Topic,Repos,ProjectID,Tag,Sharedfiles,Memory
Application,ageitgey/face_recognition,P0,latest,27,1
Application,deepfakes/faceswap,P2,latest,19,0
Application,nagadomi/waifu2x,P3,cuda10.1-cudnn7-devel-ubuntu18.04,47,1
Application,nagadomi/waifu2x,P3,latest,47,1
DL Framwork,fastai/fastai,P4,2020-09-11,6,1
DL Framwork,fastai/fastai,P4,2020-10-20,6,1
DL Framwork,fastai/fastai,P4,2020-11-28,13,2
DL Framwork,fastai/fastai,P4,2021-01-05,9,2
DL Framwork,fastai/fastai,P4,latest,8,1
DL Framwork,fastai/fastai,P4,2020-09-11,22,5
DL Framwork,fastai/fastai,P4,2020-10-20,22,5
DL Framwork,fastai/fastai,P4,2020-11-28,27,5
DL Framwork,fastai/fastai,P4,2021-01-05,20,4
DL Framwork,fastai/fastai,P4,latest,19,4
Application,numenta/nupic,P1,1.0.5,28,0
Application,numenta/nupic,P1,latest,28,0
Model,ultralytics/yolov5,P4,latest,18,1
Model,ultralytics/yolov5,P4,v9.0,17,1
Model,ultralytics/yolov5,P4,v9.1,17,1
Model,ultralytics/yolov5,P4,v9.5.0,19,2
Model,ultralytics/yolov5,P4,v9.6.0,18,1
Model,ultralytics/yolov5,P4,latest,18,1
Model,ultralytics/yolov5,P4,v2.0,36,5
Model,ultralytics/yolov5,P4,v3.1,17,1
Model,ultralytics/yolov5,P4,v5.0,19,2
Model,ultralytics/yolov5,P4,v6.0,17,1
DL Framwork,PaddlePaddle/Paddle,P1,0.10.0,45,11
DL Framwork,PaddlePaddle/Paddle,P1,1.2.1-noavx,44,6
DL Framwork,PaddlePaddle/Paddle,P1,1.6.2,15,2
DL Framwork,PaddlePaddle/Paddle,P1,2.0.1-gpu-cuda9.0-cudnn7,10,1
DL Framwork,PaddlePaddle/Paddle,P1,latest-openblas,10,1
DL Framwork,PaddlePaddle/Paddle,P1,2.0.0_beta,26,1
DL Framwork,PaddlePaddle/Paddle,P1,latest,26,1
DL Framwork,PaddlePaddle/Paddle,P1,0.6.2-devel,29,0
DL Framwork,PaddlePaddle/Paddle,P1,cube,20,4
DL Framwork,PaddlePaddle/Paddle,P1,latest-cuda10.0-cudnn7,25,2
DL Framwork,PaddlePaddle/Paddle,P1,latest-gpu,26,2
DL Framwork,PaddlePaddle/Paddle,P1,serving-tmp,28,0
Machine Learning,microsoft/LightGBM,P0,latest,31,6
ToolKit,JaidedAI/EasyOCR,P4,latest,18,0
AutoML,microsoft/nni,P4,2.0rc1,20,2
AutoML,microsoft/nni,P4,v0.5.2,34,2
AutoML,microsoft/nni,P4,v1.0,34,2
AutoML,microsoft/nni,P4,v1.8,21,2
AutoML,microsoft/nni,P4,v2.5,19,2
AutoML,keras-team/autokeras,P3,latest,12,1
Machine Learning,catboost/catboost,P2,latest,1,0
Machine Learning,aksnzhy/xlearn,P3,latest,34,2
Machine Learning,pymc-devs/pymc,P1,latest,55,12
Machine Learning,pymc-devs/pymc,P1,version-3.11.0,57,12
Machine Learning,pymc-devs/pymc,P1,version-3.11.2,55,12
Machine Learning,pymc-devs/pymc,P1,version-3.9.2,73,25
Machine Learning,pymc-devs/pymc,P1,version-3.9.3,57,15
Documentation,yandexdataschool/Practical_RL,P1,coursera,18,0
Documentation,yandexdataschool/Practical_RL,P1,latest,17,0
Documentation,yandexdataschool/Practical_RL,P1,spring19,17,0
Model,qubvel/segmentation_models.pytorch,P3,latest,28,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,8,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,18,1
ToolKit,IBM/fhe-toolkit-linux,P0,1.0.12,7,2
ToolKit,IBM/fhe-toolkit-linux,P0,latest,7,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,16,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,1,0
ToolKit,IBM/fhe-toolkit-linux,P0,1.0.12,9,2
ToolKit,IBM/fhe-toolkit-linux,P0,latest,9,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,9,3
ToolKit,IBM/fhe-toolkit-linux,P0,1.0.12,7,2
ToolKit,IBM/fhe-toolkit-linux,P0,latest,7,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,36,23
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,28,14
ToolKit,IBM/fhe-toolkit-linux,P0,1.0.12,29,16
ToolKit,IBM/fhe-toolkit-linux,P0,latest,29,16
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,8,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,18,1
ToolKit,IBM/fhe-toolkit-linux,P0,1.0.12,7,2
ToolKit,IBM/fhe-toolkit-linux,P0,latest,7,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,16,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,1,0
ToolKit,IBM/fhe-toolkit-linux,P0,1.0.12,9,2
ToolKit,IBM/fhe-toolkit-linux,P0,latest,9,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,9,3
ToolKit,IBM/fhe-toolkit-linux,P0,1.0.12,7,2
ToolKit,IBM/fhe-toolkit-linux,P0,latest,7,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,36,23
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,28,14
ToolKit,IBM/fhe-toolkit-linux,P0,1.0.12,29,16
ToolKit,IBM/fhe-toolkit-linux,P0,latest,29,16
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,8,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,18,1
ToolKit,IBM/fhe-toolkit-linux,P0,1.0.12,7,2
ToolKit,IBM/fhe-toolkit-linux,P0,latest,7,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,16,2
ToolKit,IBM/fhe-toolkit-linux,P0,1.0,1,0
ToolKit,IBM/fhe-toolkit-linux,P0,1.0.12,9,2
ToolKit,IBM/fhe-toolkit-linux,P0,latest,9,2
