Topic,Repos,ProjectID,FileType,Sharedfiles,Memory
ToolKit,JaidedAI/EasyOCR,P0,none,11.23,0.0801
ToolKit,JaidedAI/EasyOCR,P0,.xml,1.2,0.0144
ToolKit,JaidedAI/EasyOCR,P0,.pm,1.19,0.0845
ToolKit,JaidedAI/EasyOCR,P0,.pl,1.03,0.0328
ToolKit,JaidedAI/EasyOCR,P0,.html,0.45,0.0789
ToolKit,JaidedAI/EasyOCR,P0,.Debian.1,0.41,0.0034
ToolKit,IBM/fhe-toolkit-linux,P4,none,1.85,0.157
ToolKit,IBM/fhe-toolkit-linux,P4,.rst,1.12,0.0217
ToolKit,IBM/fhe-toolkit-linux,P4,.vim,0.87,0.1804
ToolKit,IBM/fhe-toolkit-linux,P4,.cmake,0.59,0.0681
ToolKit,IBM/fhe-toolkit-linux,P4,.pm,0.52,0.205
ToolKit,IBM/fhe-toolkit-linux,P4,.pl,0.43,0.0898
ToolKit,IBM/fhe-toolkit-linux,P4,none,2.71,0.1973
ToolKit,IBM/fhe-toolkit-linux,P4,.rst,1.11,0.0214
ToolKit,IBM/fhe-toolkit-linux,P4,.vim,0.86,0.1779
ToolKit,IBM/fhe-toolkit-linux,P4,.cmake,0.58,0.0672
ToolKit,IBM/fhe-toolkit-linux,P4,.pm,0.51,0.2021
ToolKit,IBM/fhe-toolkit-linux,P4,.xml,0.46,0.0562
ToolKit,IBM/fhe-toolkit-linux,P4,none,1.86,0.1597
ToolKit,IBM/fhe-toolkit-linux,P4,.rst,1.13,0.0219
ToolKit,IBM/fhe-toolkit-linux,P4,.vim,0.87,0.1818
ToolKit,IBM/fhe-toolkit-linux,P4,.cmake,0.59,0.0686
ToolKit,IBM/fhe-toolkit-linux,P4,.pm,0.52,0.2065
ToolKit,IBM/fhe-toolkit-linux,P4,.pl,0.43,0.0905
ToolKit,IBM/fhe-toolkit-linux,P4,.js,10.07,5.2126
ToolKit,IBM/fhe-toolkit-linux,P4,none,3.38,0.2703
ToolKit,IBM/fhe-toolkit-linux,P4,.json,2.35,0.4143
ToolKit,IBM/fhe-toolkit-linux,P4,.d.1,1.64,0.3613
ToolKit,IBM/fhe-toolkit-linux,P4,.js.1,1.58,1.7938
ToolKit,IBM/fhe-toolkit-linux,P4,.md,1.57,0.2839
ToolKit,IBM/fhe-toolkit-linux,P4,none,1.85,0.157
ToolKit,IBM/fhe-toolkit-linux,P4,.rst,1.12,0.0217
ToolKit,IBM/fhe-toolkit-linux,P4,.vim,0.87,0.1804
ToolKit,IBM/fhe-toolkit-linux,P4,.cmake,0.59,0.0681
ToolKit,IBM/fhe-toolkit-linux,P4,.pm,0.52,0.205
ToolKit,IBM/fhe-toolkit-linux,P4,.pl,0.43,0.0898
ToolKit,IBM/fhe-toolkit-linux,P4,none,2.71,0.1973
ToolKit,IBM/fhe-toolkit-linux,P4,.rst,1.11,0.0214
ToolKit,IBM/fhe-toolkit-linux,P4,.vim,0.86,0.1779
ToolKit,IBM/fhe-toolkit-linux,P4,.cmake,0.58,0.0672
ToolKit,IBM/fhe-toolkit-linux,P4,.pm,0.51,0.2021
ToolKit,IBM/fhe-toolkit-linux,P4,.xml,0.46,0.0562
ToolKit,IBM/fhe-toolkit-linux,P4,none,1.86,0.1597
ToolKit,IBM/fhe-toolkit-linux,P4,.rst,1.13,0.0219
ToolKit,IBM/fhe-toolkit-linux,P4,.vim,0.87,0.1818
ToolKit,IBM/fhe-toolkit-linux,P4,.cmake,0.59,0.0686
ToolKit,IBM/fhe-toolkit-linux,P4,.pm,0.52,0.2065
ToolKit,IBM/fhe-toolkit-linux,P4,.pl,0.43,0.0905
ToolKit,IBM/fhe-toolkit-linux,P4,.js,10.07,5.2126
ToolKit,IBM/fhe-toolkit-linux,P4,none,3.38,0.2703
ToolKit,IBM/fhe-toolkit-linux,P4,.json,2.35,0.4143
ToolKit,IBM/fhe-toolkit-linux,P4,.d.1,1.64,0.3613
ToolKit,IBM/fhe-toolkit-linux,P4,.js.1,1.58,1.7938
ToolKit,IBM/fhe-toolkit-linux,P4,.md,1.57,0.2839
ToolKit,IBM/fhe-toolkit-linux,P4,none,1.85,0.157
ToolKit,IBM/fhe-toolkit-linux,P4,.rst,1.12,0.0217
ToolKit,IBM/fhe-toolkit-linux,P4,.vim,0.87,0.1804
ToolKit,IBM/fhe-toolkit-linux,P4,.cmake,0.59,0.0681
ToolKit,IBM/fhe-toolkit-linux,P4,.pm,0.52,0.205
ToolKit,IBM/fhe-toolkit-linux,P4,.pl,0.43,0.0898
ToolKit,IBM/fhe-toolkit-linux,P4,none,2.71,0.1973
ToolKit,IBM/fhe-toolkit-linux,P4,.rst,1.11,0.0214
ToolKit,IBM/fhe-toolkit-linux,P4,.vim,0.86,0.1779
ToolKit,IBM/fhe-toolkit-linux,P4,.cmake,0.58,0.0672
ToolKit,IBM/fhe-toolkit-linux,P4,.pm,0.51,0.2021
ToolKit,IBM/fhe-toolkit-linux,P4,.xml,0.46,0.0562
ToolKit,IBM/fhe-toolkit-linux,P4,none,1.86,0.1597
ToolKit,IBM/fhe-toolkit-linux,P4,.rst,1.13,0.0219
ToolKit,IBM/fhe-toolkit-linux,P4,.vim,0.87,0.1818
ToolKit,IBM/fhe-toolkit-linux,P4,.cmake,0.59,0.0686
ToolKit,IBM/fhe-toolkit-linux,P4,.pm,0.52,0.2065
ToolKit,IBM/fhe-toolkit-linux,P4,.pl,0.43,0.0905
ToolKit,IBM/fhe-toolkit-linux,P4,.js,10.07,5.2126
ToolKit,IBM/fhe-toolkit-linux,P4,none,3.38,0.2703
ToolKit,IBM/fhe-toolkit-linux,P4,.json,2.35,0.4143
ToolKit,IBM/fhe-toolkit-linux,P4,.d.1,1.64,0.3613
ToolKit,IBM/fhe-toolkit-linux,P4,.js.1,1.58,1.7938
ToolKit,IBM/fhe-toolkit-linux,P4,.md,1.57,0.2839
ToolKit,IBM/fhe-toolkit-linux,P4,none,1.85,0.157
ToolKit,IBM/fhe-toolkit-linux,P4,.rst,1.12,0.0217
ToolKit,IBM/fhe-toolkit-linux,P4,.vim,0.87,0.1804
ToolKit,IBM/fhe-toolkit-linux,P4,.cmake,0.59,0.0681
ToolKit,IBM/fhe-toolkit-linux,P4,.pm,0.52,0.205
ToolKit,IBM/fhe-toolkit-linux,P4,.pl,0.43,0.0898
ToolKit,IBM/fhe-toolkit-linux,P4,none,2.71,0.1973
ToolKit,IBM/fhe-toolkit-linux,P4,.rst,1.11,0.0214
ToolKit,IBM/fhe-toolkit-linux,P4,.vim,0.86,0.1779
ToolKit,IBM/fhe-toolkit-linux,P4,.cmake,0.58,0.0672
ToolKit,IBM/fhe-toolkit-linux,P4,.pm,0.51,0.2021
ToolKit,IBM/fhe-toolkit-linux,P4,.xml,0.46,0.0562
ToolKit,IBM/fhe-toolkit-linux,P4,none,1.86,0.1597
ToolKit,IBM/fhe-toolkit-linux,P4,.rst,1.13,0.0219
ToolKit,IBM/fhe-toolkit-linux,P4,.vim,0.87,0.1818
ToolKit,IBM/fhe-toolkit-linux,P4,.cmake,0.59,0.0686
ToolKit,IBM/fhe-toolkit-linux,P4,.pm,0.52,0.2065
ToolKit,IBM/fhe-toolkit-linux,P4,.pl,0.43,0.0905
