Topic,Repos,ProjectID,FileType,Sharedfiles,Memory
MLops,kubeflow/kubeflow,P2,.alpinelinux.1.2.3,3.81,0.0127
MLops,kubeflow/kubeflow,P2,none,0.25,0.0
MLops,bentoml/BentoML,P0,none,20.15,0.8362
MLops,bentoml/BentoML,P0,.pm,1.65,0.553
MLops,bentoml/BentoML,P0,.xml,1.2,0.0827
MLops,bentoml/BentoML,P0,.pl,1.07,0.1984
MLops,bentoml/BentoML,P0,.crt,0.58,0.0218
MLops,bentoml/BentoML,P0,.tmpl,0.25,0.0065
MLops,bentoml/BentoML,P0,none,4.26,0.4435
MLops,bentoml/BentoML,P0,.mo,1.66,3.2592
MLops,bentoml/BentoML,P0,.pm,1.11,0.5128
MLops,bentoml/BentoML,P0,.xml,0.97,0.094
MLops,bentoml/BentoML,P0,.pl,0.85,0.186
MLops,bentoml/BentoML,P0,.gz,0.68,1.1538
MLops,bentoml/BentoML,P0,none,20.15,0.8362
MLops,bentoml/BentoML,P0,.pm,1.65,0.553
MLops,bentoml/BentoML,P0,.xml,1.2,0.0827
MLops,bentoml/BentoML,P0,.pl,1.07,0.1984
MLops,bentoml/BentoML,P0,.crt,0.58,0.0218
MLops,bentoml/BentoML,P0,.tmpl,0.25,0.0065
MLops,bentoml/BentoML,P0,none,4.26,0.4435
MLops,bentoml/BentoML,P0,.mo,1.66,3.2592
MLops,bentoml/BentoML,P0,.pm,1.11,0.5128
MLops,bentoml/BentoML,P0,.xml,0.97,0.094
MLops,bentoml/BentoML,P0,.pl,0.85,0.186
MLops,bentoml/BentoML,P0,.gz,0.68,1.1538
MLops,SeldonIO/seldon-core,P4,none,15.93,0.6393
MLops,SeldonIO/seldon-core,P4,.pm,2.85,0.8276
MLops,SeldonIO/seldon-core,P4,.pl,2.14,0.3005
MLops,SeldonIO/seldon-core,P4,.xml,1.98,0.1053
MLops,SeldonIO/seldon-core,P4,.mo,1.46,1.8272
MLops,SeldonIO/seldon-core,P4,.gz,0.59,0.5015
MLops,tensorflow/tfx,P3,.svg,2.64,0.4092
MLops,tensorflow/tfx,P3,none,0.55,0.0748
MLops,tensorflow/tfx,P3,.pm,0.42,0.1478
MLops,tensorflow/tfx,P3,.pl,0.25,0.0526
MLops,tensorflow/tfx,P3,.Debian.1,0.2,0.0152
MLops,tensorflow/tfx,P3,.png,0.18,0.0206
MLops,tensorflow/tfx,P3,none,3.18,0.2503
MLops,tensorflow/tfx,P3,.svg,2.45,0.167
MLops,tensorflow/tfx,P3,.pm,0.76,0.142
MLops,tensorflow/tfx,P3,.sty,0.62,0.0894
MLops,tensorflow/tfx,P3,.pl,0.57,0.0547
MLops,tensorflow/tfx,P3,.po,0.53,0.0058
