Topic,Repos,ProjectID,FileType,Sharedfiles,Memory
Application,wkentaro/labelme,P3,.svg,33.17,3.6835
Application,wkentaro/labelme,P3,none,8.87,0.6743
Application,wkentaro/labelme,P3,.png,2.25,0.23
Application,wkentaro/labelme,P3,.pm,2.14,0.6666
Application,wkentaro/labelme,P3,.xml,1.91,0.1505
Application,wkentaro/labelme,P3,.pl,1.66,0.2439
Application,ageitgey/face_recognition,P0,none,10.1,0.0885
Application,ageitgey/face_recognition,P0,.crt,0.95,0.0058
Application,ageitgey/face_recognition,P0,.pm,0.77,0.0052
Application,ageitgey/face_recognition,P0,.Debian.1,0.43,0.0025
Application,ageitgey/face_recognition,P0,.json,0.13,0.0009
Application,ageitgey/face_recognition,P0,.py,0.08,0.0044
Application,deepfakes/faceswap,P1,none,5.86,0.0
Application,deepfakes/faceswap,P1,.pm,1.37,0.0
Application,deepfakes/faceswap,P1,.mo,1.28,0.0
Application,deepfakes/faceswap,P1,.xml,1.25,0.0
Application,deepfakes/faceswap,P1,.pl,1.01,0.0
Application,deepfakes/faceswap,P1,.Debian.1,0.8,0.0
Application,nagadomi/waifu2x,P2,.svg,22.5,0.3652
Application,nagadomi/waifu2x,P2,none,3.73,0.2202
Application,nagadomi/waifu2x,P2,.rst,2.69,0.0041
Application,nagadomi/waifu2x,P2,.mo,2.35,0.197
Application,nagadomi/waifu2x,P2,.png,1.58,0.0241
Application,nagadomi/waifu2x,P2,.cmake,1.58,0.0171
Application,numenta/nupic,P4,none,6.45,0.0
Application,numenta/nupic,P4,.rst,2.26,0.0
Application,numenta/nupic,P4,.pl,1.95,0.0
Application,numenta/nupic,P4,.pm,1.39,0.0
Application,numenta/nupic,P4,.cmake,1.31,0.0
Application,numenta/nupic,P4,.i,0.84,0.0
